Total:   304 | Class: 0 | [304,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.529
Total:   304 | Class: 1 | [304,0,0,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.476
Total:   304 | Class: 2 | [304,0,0,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.441
Total:   304 | Class: 3 | [304,0,0,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.492
Total:   304 | Class: 4 | [304,0,0,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.500
Total:   304 | Class: 5 | [0,0,0,0,0,0,0,0,304,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.501
Total:   304 | Class: 6 | [304,0,0,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.507
Total:   304 | Class: 7 | [0,0,0,0,0,0,0,0,304,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.474
Total:   304 | Class: 8 | [304,0,0,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.480
Total:   304 | Class: 9 | [0,0,0,0,0,0,0,0,304,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.498
Total:   304 | Class: 0 | [304,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.484
Total:   304 | Class: 1 | [0,304,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.511
Total:   304 | Class: 2 | [0,0,304,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.501
Total:   304 | Class: 3 | [0,0,304,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.540
Total:   304 | Class: 4 | [0,0,304,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.586
Total:   304 | Class: 5 | [0,0,0,0,0,304,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.587
Total:   304 | Class: 6 | [0,0,0,0,0,0,304,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.543
Total:   304 | Class: 7 | [0,0,0,0,0,0,0,304,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.535
Total:   304 | Class: 8 | [0,0,0,0,0,0,0,0,304,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.523
Total:   304 | Class: 9 | [0,0,0,0,0,0,0,0,0,304] | Acc: 100.00 | Acc2: 100.00 | Time: 0.514
Total:   304 | Class: 0 | [304,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.516
Total:   304 | Class: 1 | [0,304,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.503
Total:   304 | Class: 2 | [0,0,304,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.497
Total:   304 | Class: 3 | [0,0,304,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.496
Total:   304 | Class: 4 | [0,0,304,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.494
Total:   304 | Class: 5 | [0,0,0,0,0,304,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.481
Total:   304 | Class: 6 | [0,0,0,0,0,0,304,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.493
Total:   304 | Class: 7 | [0,0,0,0,0,0,0,304,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.555
Total:   304 | Class: 8 | [0,0,0,0,0,0,0,0,304,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.510
Total:   304 | Class: 9 | [0,0,0,0,0,0,0,0,0,304] | Acc: 100.00 | Acc2: 100.00 | Time: 0.492
Total:   304 | Class: 0 | [304,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.495
Total:   304 | Class: 1 | [0,304,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.453
Total:   304 | Class: 2 | [0,0,304,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.488
Total:   304 | Class: 3 | [0,0,304,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.485
Total:   304 | Class: 4 | [0,0,304,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.490
Total:   304 | Class: 5 | [0,0,0,0,0,304,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.485
Total:   304 | Class: 6 | [0,0,0,0,0,0,304,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.493
Total:   304 | Class: 7 | [0,0,0,0,0,0,0,304,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.499
Total:   304 | Class: 8 | [0,0,0,0,0,0,0,0,304,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.517
Total:   304 | Class: 9 | [0,0,0,0,0,0,0,0,0,304] | Acc: 100.00 | Acc2: 100.00 | Time: 0.480
Total:   304 | Class: 0 | [304,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.515
