train,validation,test,min
0.00,0.00,0.00,0.00
10.00,10.00,70.00,0.00
40.00,40.00,70.00,0.00
70.00,70.00,80.00,0.00
70.00,70.00,80.00,0.00
70.00,70.00,80.00,0.00
70.00,70.00,80.00,0.00
70.00,70.00,80.00,0.00
80.00,80.00,80.00,0.00
70.00,70.00,80.00,0.00
90.00,90.00,80.00,0.00
90.00,90.00,70.00,0.00
100.00,100.00,70.00,0.00
100.00,100.00,70.00,0.00
100.00,100.00,70.00,0.00
100.00,100.00,70.00,0.00
100.00,100.00,70.00,0.00
100.00,100.00,70.00,0.00
100.00,100.00,70.00,0.00
100.00,100.00,70.00,0.00
