Total:   304 | Class: 0 | [0,0,0,304,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.408
Total:   304 | Class: 1 | [0,0,0,304,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.426
Total:   304 | Class: 2 | [0,0,0,304,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.386
Total:   304 | Class: 3 | [0,0,0,304,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.453
Total:   304 | Class: 4 | [0,0,0,304,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.428
Total:   304 | Class: 5 | [0,0,0,304,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.395
Total:   304 | Class: 6 | [304,0,0,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.412
Total:   304 | Class: 7 | [0,0,0,304,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.403
Total:   304 | Class: 8 | [0,0,0,304,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.414
Total:   304 | Class: 9 | [0,0,0,304,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.390
Total:   304 | Class: 0 | [304,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.362
Total:   304 | Class: 1 | [0,304,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.417
Total:   304 | Class: 2 | [0,0,304,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.370
Total:   304 | Class: 3 | [0,0,304,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.406
Total:   304 | Class: 4 | [0,0,304,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.441
Total:   304 | Class: 5 | [0,0,0,0,0,304,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.404
Total:   304 | Class: 6 | [0,0,0,0,0,0,304,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.397
Total:   304 | Class: 7 | [0,0,0,0,0,0,0,304,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.402
