train,validation,test,min
0.00,0.00,0.00,0.00
88.71,86.26,78.89,0.00
96.06,94.66,86.43,0.00
99.73,99.24,90.95,0.00
100.00,99.24,91.96,0.00
99.91,99.24,91.71,0.00
99.91,99.24,91.71,0.00
99.91,99.24,91.71,0.00
99.91,99.24,91.71,0.00
100.00,99.24,91.96,0.00
100.00,99.24,91.96,0.00
100.00,99.24,94.22,0.00
100.00,99.24,91.71,0.00
100.00,99.24,91.96,0.00
100.00,99.24,91.96,0.00
100.00,99.24,91.96,0.00
100.00,99.24,91.96,0.00
99.91,99.24,91.71,0.00
100.00,99.24,91.96,0.00
100.00,99.24,91.96,0.00
