Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.002
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.004
Total:     1 | Class: 0 | [0,0,0,1,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.002
Total:     1 | Class: 0 | [0,0,0,1,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,1,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,1,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.002
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.002
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.002
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,1,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.002
Total:     1 | Class: 0 | [0,0,0,1,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.002
Total:     1 | Class: 0 | [0,0,0,1,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,1,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.002
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.002
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.002
Total:     1 | Class: 0 | [0,0,0,1,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,1,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.002
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 0 | [0,0,0,0,0,0,1,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.002
Total:     1 | Class: 0 | [0,0,0,1,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 1 | [0,0,0,1,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.002
Total:     1 | Class: 1 | [0,0,0,1,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 1 | [0,0,0,0,0,0,0,1,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.002
Total:     1 | Class: 1 | [0,0,0,0,0,0,0,1,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 1 | [0,0,0,1,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
Total:     1 | Class: 1 | [0,0,0,1,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.002
Total:     1 | Class: 1 | [0,0,0,1,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.003
