Total:   270 | Class: 0 | [0,0,0,0,0,0,270,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.362
Total:   270 | Class: 1 | [0,0,0,0,0,0,270,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.345
Total:   270 | Class: 2 | [0,0,0,0,0,0,270,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.360
Total:   270 | Class: 3 | [0,0,0,0,0,0,270,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.397
Total:   270 | Class: 4 | [0,0,0,0,0,0,270,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.356
Total:   270 | Class: 5 | [0,0,0,0,0,0,270,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.356
Total:   270 | Class: 6 | [270,0,0,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.373
Total:   270 | Class: 7 | [0,0,0,0,0,0,270,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.382
Total:   270 | Class: 8 | [0,0,0,0,0,0,270,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.378
Total:   270 | Class: 9 | [0,0,0,0,0,0,270,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.384
Total:   270 | Class: 0 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.392
Total:   270 | Class: 1 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.364
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.340
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.371
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.389
Total:   270 | Class: 5 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.379
Total:   270 | Class: 6 | [0,0,0,0,0,270,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.380
Total:   270 | Class: 7 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.348
Total:   270 | Class: 8 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.387
Total:   270 | Class: 9 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.367
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.392
Total:   270 | Class: 1 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.380
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.357
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.393
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.379
Total:   270 | Class: 5 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.384
Total:   270 | Class: 6 | [0,0,0,0,0,0,0,0,270,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.375
Total:   270 | Class: 7 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.369
Total:   270 | Class: 8 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.358
Total:   270 | Class: 9 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.391
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.372
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.365
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.349
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.360
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.377
Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.371
Total:   270 | Class: 6 | [0,0,0,0,0,0,0,0,270,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.382
Total:   270 | Class: 7 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.354
Total:   270 | Class: 8 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.359
