train,validation,test,min,time
0.00,0.00,10.00,0.00,0.000
0.00,0.00,20.00,0.00,0.955
0.00,0.00,60.00,0.00,0.855
0.00,0.00,60.00,0.00,0.839
0.00,0.00,60.00,0.00,0.861
10.00,10.00,70.00,0.00,0.861
30.00,30.00,70.00,0.00,0.858
30.00,30.00,70.00,0.00,0.865
30.00,30.00,70.00,0.00,0.855
30.00,30.00,70.00,0.00,0.850
40.00,40.00,70.00,0.00,0.876
40.00,40.00,70.00,0.00,0.844
40.00,40.00,70.00,0.00,0.843
50.00,50.00,70.00,0.00,0.884
50.00,50.00,70.00,0.00,0.866
50.00,50.00,70.00,0.00,0.858
50.00,50.00,70.00,0.00,0.847
50.00,50.00,70.00,0.00,0.842
50.00,50.00,70.00,0.00,0.883
50.00,50.00,70.00,0.00,0.885
50.00,50.00,70.00,0.00,0.868
50.00,50.00,70.00,0.00,0.851
50.00,50.00,70.00,0.00,0.872
50.00,50.00,70.00,0.00,0.832
60.00,60.00,70.00,0.00,0.863
60.00,60.00,70.00,0.00,0.848
70.00,70.00,80.00,0.00,0.874
70.00,70.00,80.00,0.00,0.876
70.00,70.00,80.00,0.00,0.870
70.00,70.00,80.00,0.00,0.860
70.00,70.00,80.00,0.00,0.856
70.00,70.00,80.00,0.00,0.859
70.00,70.00,80.00,0.00,0.883
70.00,70.00,80.00,0.00,0.863
70.00,70.00,80.00,0.00,0.860
70.00,70.00,80.00,0.00,0.876
70.00,70.00,80.00,0.00,0.866
70.00,70.00,80.00,0.00,0.859
70.00,70.00,80.00,0.00,0.867
70.00,70.00,80.00,0.00,0.863
70.00,70.00,80.00,0.00,0.852
70.00,70.00,80.00,0.00,0.856
70.00,70.00,80.00,0.00,0.881
70.00,70.00,80.00,0.00,0.876
70.00,70.00,80.00,0.00,0.875
70.00,70.00,80.00,0.00,0.817
70.00,70.00,80.00,0.00,0.815
70.00,70.00,80.00,0.00,0.904
70.00,70.00,80.00,0.00,0.834
70.00,70.00,80.00,0.00,0.838
70.00,70.00,80.00,0.00,0.824
70.00,70.00,80.00,0.00,0.857
70.00,70.00,80.00,0.00,0.817
70.00,70.00,80.00,0.00,0.817
70.00,70.00,80.00,0.00,0.841
70.00,70.00,80.00,0.00,0.842
70.00,70.00,80.00,0.00,0.867
70.00,70.00,80.00,0.00,0.825
70.00,70.00,80.00,0.00,0.824
70.00,70.00,80.00,0.00,0.848
70.00,70.00,80.00,0.00,0.848
70.00,70.00,80.00,0.00,0.854
70.00,70.00,80.00,0.00,0.812
70.00,70.00,80.00,0.00,0.827
70.00,70.00,80.00,0.00,0.835
70.00,70.00,80.00,0.00,0.826
70.00,70.00,70.00,0.00,0.822
70.00,70.00,70.00,0.00,0.822
70.00,70.00,70.00,0.00,0.828
70.00,70.00,70.00,0.00,0.819
80.00,80.00,70.00,0.00,0.835
70.00,70.00,70.00,0.00,0.827
80.00,80.00,70.00,0.00,0.841
70.00,70.00,70.00,0.00,0.817
70.00,70.00,70.00,0.00,0.815
70.00,70.00,70.00,0.00,0.824
80.00,80.00,70.00,0.00,0.887
80.00,80.00,70.00,0.00,0.874
80.00,80.00,70.00,0.00,0.827
80.00,80.00,70.00,0.00,0.846
80.00,80.00,70.00,0.00,0.834
80.00,80.00,70.00,0.00,0.886
80.00,80.00,70.00,0.00,0.857
80.00,80.00,70.00,0.00,0.828
80.00,80.00,70.00,0.00,0.820
80.00,80.00,70.00,0.00,0.840
80.00,80.00,70.00,0.00,0.839
80.00,80.00,70.00,0.00,0.822
80.00,80.00,70.00,0.00,0.806
80.00,80.00,70.00,0.00,0.834
80.00,80.00,70.00,0.00,0.822
80.00,80.00,70.00,0.00,0.882
80.00,80.00,70.00,0.00,0.845
80.00,80.00,70.00,0.00,0.814
80.00,80.00,70.00,0.00,0.839
80.00,80.00,70.00,0.00,0.850
80.00,80.00,70.00,0.00,0.899
90.00,90.00,70.00,0.00,0.867
80.00,80.00,70.00,0.00,0.824
80.00,80.00,70.00,0.00,0.813
90.00,90.00,70.00,0.00,0.823
90.00,90.00,70.00,0.00,0.836
90.00,90.00,70.00,0.00,0.833
90.00,90.00,60.00,0.00,0.878
90.00,90.00,60.00,0.00,0.853
90.00,90.00,60.00,0.00,0.826
90.00,90.00,60.00,0.00,0.819
90.00,90.00,50.00,0.00,0.827
90.00,90.00,50.00,0.00,0.832
90.00,90.00,50.00,0.00,0.835
90.00,90.00,50.00,0.00,0.881
90.00,90.00,50.00,0.00,0.899
90.00,90.00,50.00,0.00,0.833
90.00,90.00,50.00,0.00,0.814
90.00,90.00,50.00,0.00,0.821
90.00,90.00,40.00,0.00,0.843
90.00,90.00,50.00,0.00,0.852
90.00,90.00,40.00,0.00,0.829
90.00,90.00,30.00,0.00,0.840
90.00,90.00,30.00,0.00,0.845
90.00,90.00,30.00,0.00,0.864
90.00,90.00,30.00,0.00,0.834
90.00,90.00,20.00,0.00,0.876
90.00,90.00,20.00,0.00,0.864
90.00,90.00,20.00,0.00,0.853
90.00,90.00,20.00,0.00,0.851
90.00,90.00,20.00,0.00,0.834
90.00,90.00,20.00,0.00,0.87
