Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.333
Total:   270 | Class: 1 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.350
Total:   270 | Class: 2 | [0,0,0,0,270,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.404
Total:   270 | Class: 3 | [0,0,0,0,270,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.360
Total:   270 | Class: 4 | [0,0,0,0,270,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.360
Total:   270 | Class: 5 | [270,0,0,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.359
Total:   270 | Class: 6 | [270,0,0,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.338
Total:   270 | Class: 7 | [0,0,0,0,270,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.339
Total:   270 | Class: 8 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.343
Total:   270 | Class: 9 | [0,0,0,0,270,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.335
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.340
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.374
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.314
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.381
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.355
Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.366
Total:   270 | Class: 6 | [0,0,0,0,0,0,270,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.369
Total:   270 | Class: 7 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.361
Total:   270 | Class: 8 | [0,0,0,0,0,0,0,0,270,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.334
Total:   270 | Class: 9 | [0,0,0,0,0,0,0,0,0,270] | Acc: 100.00 | Acc2: 100.00 | Time: 0.350
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.357
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.329
Total:   270 | Class: 2 | [0,0,0,0,270,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.382
Total:   270 | Class: 3 | [0,0,0,0,270,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.323
Total:   270 | Class: 4 | [0,0,0,0,270,0,0,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.325
Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.348
Total:   270 | Class: 6 | [0,0,0,0,0,0,270,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.347
Total:   270 | Class: 7 | [0,0,0,0,0,0,0,270,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.358
Total:   270 | Class: 8 | [0,0,0,0,0,0,0,0,270,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.340
Total:   270 | Class: 9 | [0,0,0,0,0,0,0,0,0,270] | Acc: 100.00 | Acc2: 100.00 | Time: 0.367
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.339
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.329
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.330
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.335
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.367
Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.338
Total:   270 | Class: 6 | [0,0,0,0,0,0,270,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.384
Total:   270 | Class: 7 | [0,0,0,0,0,0,0,270,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.322
Total:   270 | Class: 8 | [0,0,0,0,0,0,0,0,270,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.330
Total:   270 | Class: 9 | [0,0,0,0,0,0,0,0,0,270] | Acc: 100.00 | Acc2: 100.00 | Time: 0.340
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.314
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.326
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.304
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.317
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.330
Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.353
Total:   270 | Class: 6 | [0,0,0,0,0,0,270,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.327
Total:   270 | Class: 7 | [0,0,0,0,0,0,0,270,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.313
Total:   270 | Class: 8 | [0,0,0,0,0,0,0,0,270,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.341
Total:   270 | Class: 9 | [0,0,0,0,0,0,0,0,0,270] | Acc: 100.00 | Acc2: 100.00 | Time: 0.317
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.326
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.350
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.320
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.351
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.341
Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.320
Total:   270 | Class: 6 | [0,0,0,0,0,0,270,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.345
Total:   270 | Class: 7 | [0,0,0,0,0,0,0,270,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.374
Total:   270 | Class: 8 | [0,0,0,0,0,0,0,0,270,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.328
Total:   270 | Class: 9 | [0,0,0,0,0,0,0,0,0,270] | Acc: 100.00 | Acc2: 100.00 | Time: 0.335
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.385
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.393
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.394
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.342
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.347
Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.356
Total:   270 | Class: 6 | [0,0,0,0,0,0,270,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.364
Total:   270 | Class: 7 | [0,0,0,0,0,0,0,270,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.408
Total:   270 | Class: 8 | [0,0,0,0,0,0,0,0,270,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.340
Total:   270 | Class: 9 | [0,0,0,0,0,0,0,0,0,270] | Acc: 100.00 | Acc2: 100.00 | Time: 0.378
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.383
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.361
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.354
