train,validation,test,min
0.00,0.00,0.00,0.00
40.00,40.00,70.00,0.00
60.00,60.00,70.00,0.00
70.00,70.00,80.00,0.00
70.00,70.00,80.00,0.00
78.99,79.41,80.00,0.00
88.99,89.41,70.00,0.00
90.00,90.00,70.00,0.00
100.00,100.00,70.00,0.00
100.00,100.00,60.00,0.00
100.00,100.00,60.00,0.00
100.00,100.00,60.00,0.00
100.00,100.00,60.00,0.00
100.00,100.00,60.00,0.00
100.00,100.00,60.00,0.00
100.00,100.00,60.00,0.00
100.00,100.00,60.00,0.00
100.00,100.00,60.00,0.00
100.00,100.00,60.00,0.00
100.00,100.00,60.00,0.00
