Total:   270 | Class: 0 | [0,0,0,270,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.513
Total:   270 | Class: 1 | [0,0,0,0,270,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.409
Total:   270 | Class: 2 | [0,0,0,0,270,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.464
Total:   270 | Class: 3 | [0,0,0,0,270,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.480
Total:   270 | Class: 4 | [0,0,0,0,270,0,0,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.459
Total:   270 | Class: 5 | [0,0,0,270,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.460
Total:   270 | Class: 6 | [270,0,0,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.467
Total:   270 | Class: 7 | [0,0,0,270,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.467
Total:   270 | Class: 8 | [0,0,0,0,0,270,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.480
Total:   270 | Class: 9 | [0,0,0,270,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.466
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.483
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.427
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.442
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.476
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.470
Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.458
Total:   270 | Class: 6 | [0,270,0,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.448
Total:   270 | Class: 7 | [0,0,0,0,0,0,0,270,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.455
Total:   270 | Class: 8 | [0,0,0,0,0,0,0,0,270,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.514
Total:   270 | Class: 9 | [0,0,0,0,0,0,0,0,0,270] | Acc: 100.00 | Acc2: 100.00 | Time: 0.455
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.516
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.487
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.455
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.482
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.486
Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.482
Total:   270 | Class: 6 | [0,0,0,0,0,0,270,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.459
Total:   270 | Class: 7 | [0,0,0,0,0,0,0,270,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.432
Total:   270 | Class: 8 | [0,0,0,0,0,0,0,0,270,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.486
Total:   270 | Class: 9 | [0,0,0,0,0,0,0,0,0,270] | Acc: 100.00 | Acc2: 100.00 | Time: 0.471
