train,validation,time
0.00,0.00,0.00
78.31,69.69,4.85
94.25,82.19,7.90
98.73,88.48,10.92
99.63,90.57,13.94
99.84,91.25,17.05
99.95,91.87,20.00
99.87,91.74,23.08
99.97,91.81,26.13
100.00,91.62,29.11
99.97,91.99,32.19
100.00,91.99,35.24
100.00,91.93,38.24
100.00,92.48,41.24
100.00,92.48,44.30
100.00,92.42,47.28
100.00,92.79,50.29
100.00,92.17,53.33
100.00,91.99,56.29
100.00,93.28,59.27
100.00,92.42,62.29
100.00,92.91,65.31
100.00,92.42,68.40
100.00,92.85,71.34
100.00,92.91,74.41
100.00,93.10,77.43
100.00,93.04,80.53
100.00,92.24,83.55
100.00,92.85,86.56
100.00,92.36,89.68
100.00,92.91,92.71
100.00,92.91,92.71
