train,validation,time
0.00,0.00,0.00
56.38,57.40,3.29
87.97,84.27,4.89
95.25,91.48,6.44
97.57,93.58,7.97
98.59,94.76,9.54
99.49,95.67,11.09
99.83,96.72,12.66
99.77,96.33,14.25
99.77,96.46,15.81
99.94,97.12,17.38
99.94,97.38,18.94
100.00,97.77,20.50
99.94,97.38,22.07
100.00,97.38,23.65
100.00,97.25,25.29
99.77,96.59,26.87
100.00,97.12,28.42
100.00,97.12,29.98
100.00,97.12,31.60
100.00,97.12,33.15
100.00,97.77,34.73
100.00,97.90,36.31
100.00,97.51,37.90
100.00,96.99,39.43
100.00,97.64,41.02
100.00,97.77,42.60
100.00,97.64,44.19
100.00,97.90,45.79
100.00,97.25,47.40
100.00,97.64,49.08
100.00,97.38,50.68
100.00,97.25,52.31
100.00,97.64,53.90
100.00,97.64,53.90
