train,validation,time
0.00,0.00,0.00
60.84,51.10,2.94
95.79,85.29,4.11
97.57,87.50,5.27
98.54,81.99,6.43
98.87,85.29,7.60
99.03,85.29,8.80
98.87,86.40,9.95
99.03,89.34,11.12
99.03,84.19,12.31
98.38,84.19,13.47
99.03,87.13,14.65
99.03,87.87,15.83
99.03,84.56,16.97
99.03,87.13,18.18
99.19,84.56,19.34
98.71,84.93,20.51
99.03,84.56,21.66
99.03,88.97,22.84
99.03,85.66,24.00
99.03,85.29,25.17
99.03,80.15,26.35
99.03,85.66,27.50
99.03,81.62,28.70
99.03,91.18,29.89
99.03,86.76,31.08
99.03,92.65,32.27
98.87,84.93,33.41
99.03,84.93,34.56
99.03,84.93,35.74
98.71,84.19,36.90
99.03,86.76,38.09
98.87,86.03,39.26
99.03,87.13,40.45
98.87,86.40,41.65
99.03,86.40,42.80
99.03,86.40,43.94
98.38,85.66,45.11
99.03,84.56,46.29
99.03,87.87,47.47
99.03,87.13,48.58
99.03,86.76,49.77
99.03,91.18,50.95
99.03,89.71,52.14
99.03,83.82,53.30
99.03,92.65,54.46
98.71,84.56,55.60
99.03,84.93,56.82
99.03,84.93,56.82
