train,validation,time
0.00,0.00,0.00
100.00,96.93,13.86,best
100.00,96.26,25.74
100.00,96.66,37.65
100.00,96.39,49.48
100.00,96.12,61.33
100.00,95.32,73.14
100.00,95.99,84.93
100.00,96.66,96.83
100.00,94.79,108.66
100.00,94.65,120.45
100.00,97.86,132.37,best
100.00,96.39,144.16
100.00,94.39,156.04
100.00,94.65,167.88
100.00,92.78,179.65
100.00,93.45,191.32
100.00,96.66,203.08
100.00,95.45,214.85
100.00,95.45,226.60
100.00,96.66,238.39
100.00,96.26,250.12
100.00,97.86,261.86
100.00,97.86,261.86
