Total:    16 | Class: 0 | [0,0,0,9,0,0,7] | Acc: 0.00 | Acc2: 0.00 | Time: 0.027
Total:    16 | Class: 1 | [1,0,0,3,0,0,12] | Acc: 0.00 | Acc2: 0.00 | Time: 0.032
Total:    16 | Class: 2 | [0,0,0,2,0,0,14] | Acc: 0.00 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 3 | [1,0,0,1,0,0,14] | Acc: 6.25 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 4 | [0,0,0,2,0,0,14] | Acc: 0.00 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 5 | [0,0,0,0,0,0,16] | Acc: 0.00 | Acc2: 0.00 | Time: 0.032
Total:    16 | Class: 6 | [1,0,0,1,0,0,14] | Acc: 87.50 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.028
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.028
Total:    16 | Class: 2 | [0,0,15,0,1,0,0] | Acc: 93.75 | Acc2: 0.00 | Time: 0.030
Total:    16 | Class: 3 | [0,0,1,13,0,1,1] | Acc: 81.25 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 4 | [0,0,1,0,15,0,0] | Acc: 93.75 | Acc2: 0.00 | Time: 0.028
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 87.50 | Time: 0.028
Total:    16 | Class: 6 | [0,7,0,0,0,0,9] | Acc: 56.25 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.026
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 37.50 | Time: 0.025
Total:    16 | Class: 2 | [0,0,15,1,0,0,0] | Acc: 93.75 | Acc2: 81.25 | Time: 0.024
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.00 | Acc2: 56.25 | Time: 0.025
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.00 | Acc2: 87.50 | Time: 0.028
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.026
Total:    16 | Class: 6 | [0,0,0,0,0,0,16] | Acc: 100.00 | Acc2: 0.00 | Time: 0.027
