train,validation,time
0.00,0.00,0.00
0.00,0.00,0.77
2.14,0.66,0.55
41.90,25.82,0.57
71.71,55.57,0.57
85.88,73.92,0.56
92.86,82.83,0.59
95.33,88.99,0.57
96.96,88.34,0.57
98.14,91.74,0.57
98.65,93.45,0.57
98.65,93.84,0.58
99.16,93.84,0.55
99.49,94.23,0.56
99.61,94.89,0.53
99.83,96.20,0.56
99.89,96.33,0.53
99.89,95.54,0.56
99.78,95.28,0.54
100.00,95.67,0.64
100.00,96.20,0.61
99.94,96.59,0.63
100.00,95.02,0.53
100.00,95.81,0.57
100.00,96.59,0.55
100.00,96.72,0.57
100.00,97.64,0.56
100.00,97.64,0.56
