train,validation,test,min
0.00,0.00,0.00,0.00
27.65,28.19,25.89,0.00
52.06,49.81,51.79,0.00
94.22,86.49,81.25,18.75
99.52,96.14,90.18,43.75
99.61,97.68,91.07,43.75
99.96,98.84,90.18,43.75
100.00,99.61,92.86,56.25
100.00,99.61,91.07,43.75
100.00,99.61,93.75,62.50
100.00,98.84,92.86,50.00
100.00,99.61,95.54,75.00
100.00,99.61,94.64,62.50
100.00,99.61,93.75,62.50
100.00,100.00,95.54,68.75
100.00,99.61,93.75,62.50
100.00,99.61,96.43,75.00
100.00,99.61,93.75,62.50
100.00,100.00,95.54,68.75
100.00,99.61,95.54,75.00
100.00,99.61,96.43,75.00
