Total:    16 | Class: 0 | [0,0,3,1,0,12,0] | Acc: 0.000 | Time: 0.240
Total:    16 | Class: 1 | [0,2,7,0,0,7,0] | Acc: 0.000 | Time: 0.082
Total:    16 | Class: 2 | [0,0,2,0,0,14,0] | Acc: 0.000 | Time: 0.082
Total:    16 | Class: 3 | [0,0,4,0,0,12,0] | Acc: 0.000 | Time: 0.081
Total:    16 | Class: 4 | [0,0,4,0,0,12,0] | Acc: 0.000 | Time: 0.079
Total:    16 | Class: 5 | [0,0,4,0,0,12,0] | Acc: 0.000 | Time: 0.080
Total:    16 | Class: 6 | [0,1,3,1,0,11,0] | Acc: 0.000 | Time: 0.078
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.081
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 93.750 | Time: 0.081
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Time: 0.079
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Time: 0.079
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Time: 0.078
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Time: 0.076
Total:    16 | Class: 6 | [0,0,0,0,0,0,16] | Acc: 100.000 | Time: 0.079
