Total:    16 | Class: 0 | [0,0,0,0,2,0,14] | Acc: 0.000 | Acc2: 0.000 | Time: 0.239
Total:    16 | Class: 1 | [0,0,0,0,2,0,14] | Acc: 0.000 | Acc2: 0.000 | Time: 0.081
Total:    16 | Class: 2 | [0,0,1,0,3,0,12] | Acc: 6.250 | Acc2: 0.000 | Time: 0.089
Total:    16 | Class: 3 | [0,0,0,1,4,0,11] | Acc: 6.250 | Acc2: 0.000 | Time: 0.080
Total:    16 | Class: 4 | [0,0,0,0,2,0,14] | Acc: 12.500 | Acc2: 0.000 | Time: 0.079
Total:    16 | Class: 5 | [0,0,0,0,2,0,14] | Acc: 0.000 | Acc2: 0.000 | Time: 0.080
Total:    16 | Class: 6 | [0,0,0,3,3,0,10] | Acc: 62.500 | Acc2: 0.000 | Time: 0.081
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.085
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.090
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.089
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.084
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.077
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.080
Total:    16 | Class: 6 | [0,0,0,0,0,0,16] | Acc: 100.000 | Acc2: 93.750 | Time: 0.079
