train,validation,test,min
0.00,0.00,0.00,0.00
14.29,14.29,14.29,0.00
28.18,28.96,27.68,0.00
61.39,61.78,58.04,0.00
84.75,78.76,71.43,6.25
97.06,90.73,83.04,18.75
98.33,92.66,87.50,25.00
99.69,97.68,91.07,50.00
99.82,98.84,93.75,68.75
99.91,98.84,92.86,56.25
100.00,98.84,93.75,62.50
100.00,99.23,94.64,68.75
100.00,99.23,95.54,75.00
100.00,99.61,94.64,62.50
100.00,99.61,95.54,75.00
100.00,100.00,95.54,75.00
100.00,100.00,95.54,75.00
100.00,100.00,95.54,75.00
100.00,100.00,95.54,75.00
100.00,100.00,96.43,81.25
100.00,100.00,95.54,75.00
