train,validation,time
0.00,0.00,0.00
1.63,1.97,6.32
12.32,11.40,11.44
14.06,13.89,16.48
15.64,14.94,21.35
25.31,24.12,26.28
25.42,23.98,31.55
26.60,25.82,36.48
29.30,27.79,41.53
37.35,34.73,46.65
44.71,39.97,52.03
47.92,42.33,56.87
53.60,47.44,62.11
58.21,51.90,67.07
56.13,50.72,72.06
58.89,53.21,77.14
64.74,58.19,82.34
65.52,59.11,87.43
66.48,59.63,92.44
69.80,61.60,97.36
71.26,62.39,102.43
73.28,64.74,107.27
74.13,63.43,112.26
77.67,63.96,117.25
77.73,65.79,122.10
79.19,69.07,127.12
84.03,67.89,131.84
85.43,68.94,136.66
89.93,71.17,141.55
88.30,71.69,146.37
89.71,71.04,151.66
91.34,72.87,156.60
91.62,73.79,161.51
93.76,73.66,166.39
94.09,74.31,171.51
94.83,74.97,176.62
96.57,74.97,181.57
96.85,76.41,186.44
95.39,73.66,191.27
97.30,77.59,196.20
97.75,77.46,201.08
97.92,78.24,205.90
98.71,77.72,210.66
98.43,78.11,215.40
98.88,78.90,220.16
99.04,77.06,224.94
99.38,79.69,229.93
99.04,79.29,234.95
99.38,78.77,240.38
98.82,80.34,245.03
99.38,80.34,250.04
99.49,80.60,255.02
99.72,79.95,259.84
99.66,79.95,264.55
99.27,79.16,269.49
99.94,80.87,274.54
99.94,81.26,279.15
99.94,80.21,283.88
99.89,81.13,288.93
99.89,81.00,293.70
100.00,79.95,298.82
99.83,81.13,303.76
99.89,81.13,308.87
99.94,80.34,313.68
100.00,81.78,318.44
100.00,80.73,323.26
100.00,81.13,328.13
100.00,81.78,332.99
100.00,81.78,338.03
100.00,82.04,342.87
100.00,80.60,347.56
100.00,81.91,352.36
100.00,79.55,357.18
100.00,82.57,361.92
100.00,82.31,366.93
100.00,81.39,371.71
100.00,80.21,376.99
100.00,80.73,382.07
100.00,81.65,386.99
100.00,81.91,391.78
100.00,81.00,396.77
100.00,82.18,401.83
100.00,81.39,406.75
100.00,81.39,411.78
100.00,82.31,416.66
100.00,82.31,416.66
