train,validation,time
0.00,0.00,0.00
9.11,9.04,6.15
41.28,39.06,11.21
56.58,48.62,16.38
69.85,60.81,21.22
71.32,66.06,26.24
71.82,65.27,31.19
76.43,70.90,35.94
79.81,76.28,40.76
85.83,81.39,45.63
86.28,82.70,50.53
91.84,87.94,55.43
93.42,88.86,60.19
95.67,91.87,65.16
96.85,91.74,70.04
97.69,93.18,74.94
98.37,93.45,79.74
98.26,94.23,84.73
98.03,94.76,89.68
99.61,96.07,94.56
99.78,95.02,99.30
99.49,95.28,104.24
99.94,95.81,109.23
99.89,97.25,114.13
99.94,96.85,118.89
100.00,96.33,123.84
100.00,97.38,128.82
100.00,97.77,133.64
100.00,97.64,138.61
100.00,98.03,143.43
100.00,98.03,143.43
