train,validation,test,min
0.00,0.00,0.00,0.00
99.69,100.00,69.64,0.00
100.00,100.00,70.54,0.00
100.00,100.00,71.43,0.00
100.00,100.00,70.54,0.00
100.00,100.00,71.43,0.00
100.00,100.00,72.32,0.00
100.00,100.00,73.21,0.00
100.00,100.00,75.00,0.00
100.00,100.00,75.00,0.00
100.00,100.00,74.11,0.00
100.00,100.00,74.11,0.00
100.00,100.00,76.79,6.25
100.00,100.00,72.32,0.00
100.00,100.00,77.68,0.00
100.00,100.00,75.00,6.25
100.00,100.00,75.00,6.25
100.00,100.00,75.00,6.25
100.00,100.00,78.57,0.00
100.00,100.00,78.57,0.00
100.00,100.00,73.21,0.00
