train,validation,time
0.00,0.00,0.00
30.15,28.53,7.75
56.70,28.85,14.51
86.77,47.97,21.32
97.77,60.65,27.87
99.87,60.72,34.64
99.91,61.71,41.28
100.00,63.09,47.84
99.96,61.98,54.50
100.00,62.77,61.08
100.00,62.06,67.75
100.00,63.99,74.24
100.00,61.39,80.87
100.00,60.88,87.45
100.00,65.53,93.78
100.00,65.25,100.34
100.00,63.05,106.64
100.00,64.97,113.38
100.00,63.48,120.05
100.00,60.92,126.71
100.00,67.02,133.32
100.00,66.04,140.12
100.00,60.25,146.53
100.00,64.15,153.23
100.00,59.58,159.89
100.00,62.65,166.82
100.00,65.21,173.47
100.00,60.72,180.39
100.00,60.57,186.96
100.00,59.15,193.38
100.00,61.31,199.86
100.00,60.57,206.60
100.00,60.57,206.60
