train,validation,time
0.00,0.00,0.00
27.70,14.21,7.60
57.62,17.75,14.11
69.37,29.48,20.57
89.61,32.86,27.28
98.86,46.99,33.80
99.91,57.14,40.47
100.00,60.09,47.22
100.00,62.61,54.06
99.96,62.30,60.87
100.00,62.61,67.73
100.00,63.60,74.77
100.00,62.93,81.58
100.00,62.89,88.07
100.00,63.16,94.59
100.00,61.79,101.26
100.00,63.40,108.00
100.00,62.97,114.54
100.00,63.44,121.14
100.00,63.64,127.76
100.00,62.81,134.19
100.00,62.89,140.68
100.00,62.89,147.42
100.00,66.12,154.05
100.00,67.61,160.48
100.00,63.12,166.87
100.00,62.42,173.39
100.00,64.34,180.12
100.00,62.93,186.68
100.00,64.58,193.29
100.00,64.19,199.96
100.00,68.75,206.53
100.00,62.26,213.57
100.00,65.09,220.20
100.00,66.98,226.76
100.00,63.87,233.34
100.00,62.89,239.92
100.00,65.01,246.73
100.00,63.83,253.19
100.00,64.19,259.89
100.00,70.21,266.44
100.00,62.10,273.16
100.00,62.57,280.02
100.00,61.98,286.53
100.00,65.29,292.97
100.00,64.38,299.71
100.00,64.15,306.33
100.00,64.03,312.89
100.00,64.94,319.60
100.00,62.97,326.12
100.00,65.68,332.74
100.00,65.76,339.32
100.00,65.76,339.32
