Total:    16 | Class: 0 | [0,1,0,0,14,1,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.035
Total:    16 | Class: 1 | [0,0,0,0,16,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.037
Total:    16 | Class: 2 | [0,0,0,0,16,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.035
Total:    16 | Class: 3 | [0,0,0,0,16,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.036
Total:    16 | Class: 4 | [0,0,0,0,15,0,1] | Acc: 93.75 | Acc2: 0.00 | Time: 0.035
Total:    16 | Class: 5 | [0,0,0,0,16,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.038
Total:    16 | Class: 6 | [1,1,0,0,14,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.035
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.042
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.040
Total:    16 | Class: 2 | [0,1,0,0,4,9,2] | Acc: 0.00 | Acc2: 0.00 | Time: 0.037
Total:    16 | Class: 3 | [0,2,0,0,0,3,11] | Acc: 0.00 | Acc2: 0.00 | Time: 0.040
Total:    16 | Class: 4 | [0,0,0,0,8,0,8] | Acc: 50.00 | Acc2: 0.00 | Time: 0.037
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.033
Total:    16 | Class: 6 | [0,8,0,0,0,0,8] | Acc: 50.00 | Acc2: 12.50 | Time: 0.033
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.035
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.033
Total:    16 | Class: 2 | [0,0,0,0,11,5,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.034
Total:    16 | Class: 3 | [0,1,0,0,0,7,8] | Acc: 0.00 | Acc2: 0.00 | Time: 0.035
Total:    16 | Class: 4 | [0,0,0,0,12,0,4] | Acc: 75.00 | Acc2: 50.00 | Time: 0.035
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.034
Total:    16 | Class: 6 | [0,1,0,0,0,0,15] | Acc: 93.75 | Acc2: 31.25 | Time: 0.033
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.034
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.035
Total:    16 | Class: 2 | [1,0,0,0,15,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.068
Total:    16 | Class: 3 | [0,2,0,0,0,4,10] | Acc: 0.00 | Acc2: 0.00 | Time: 0.035
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.00 | Acc2: 75.00 | Time: 0.041
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.045
