train,validation,time
0.00,0.00,0.00
25.50,9.48,7.42
71.56,16.06,14.25
91.02,28.73,20.91
98.82,40.10,27.22
99.96,39.71,33.86
100.00,44.00,40.35
100.00,43.84,47.07
100.00,46.28,53.86
100.00,44.82,60.26
100.00,47.54,66.48
100.00,44.35,73.06
100.00,46.16,79.49
100.00,48.72,86.16
100.00,46.12,92.50
100.00,52.22,99.12
100.00,50.96,105.61
100.00,48.52,112.34
100.00,52.46,118.88
100.00,54.98,125.40
100.00,47.70,131.96
100.00,53.92,138.42
100.00,52.34,144.97
100.00,55.57,151.60
100.00,52.89,158.22
100.00,48.29,164.69
100.00,50.57,171.10
100.00,50.89,177.38
100.00,48.96,183.79
100.00,53.60,190.53
100.00,47.66,197.06
100.00,50.02,203.38
100.00,50.49,209.73
100.00,49.86,216.32
100.00,49.08,222.84
100.00,49.08,222.84
