train,validation,time
0.00,0.00,0.00
14.29,0.79,7.61
49.04,7.04,14.01
91.81,36.60,20.57
99.34,38.10,26.94
99.91,36.91,33.65
100.00,41.20,40.21
100.00,36.48,46.84
100.00,40.85,53.59
100.00,41.16,59.92
100.00,38.49,66.51
100.00,36.25,73.29
100.00,44.79,80.10
100.00,44.43,86.71
100.00,32.27,93.19
100.00,43.17,99.85
100.00,40.77,106.48
100.00,41.99,113.22
100.00,45.73,119.86
100.00,36.64,126.44
100.00,42.90,132.95
100.00,42.46,139.34
100.00,42.35,145.88
100.00,40.81,152.58
100.00,47.23,159.09
100.00,44.51,165.60
100.00,44.98,172.01
100.00,44.67,178.66
100.00,47.86,185.39
100.00,45.77,192.27
100.00,45.85,198.78
100.00,42.62,205.48
100.00,43.60,212.27
100.00,45.85,218.90
100.00,46.79,225.47
100.00,50.41,232.05
100.00,46.52,238.72
100.00,45.49,245.36
100.00,48.68,251.93
100.00,49.70,258.63
100.00,48.92,265.12
100.00,44.67,271.78
100.00,46.83,278.27
100.00,46.16,284.92
100.00,45.65,291.57
100.00,49.86,298.31
100.00,47.78,304.77
100.00,47.78,304.77
