train,validation,time
0.00,0.00,0.00
26.82,28.53,7.46
40.67,28.49,14.17
43.12,27.47,20.69
54.60,34.99,27.20
71.03,38.13,33.76
78.31,37.43,40.65
86.24,40.38,47.38
91.28,44.16,53.84
94.52,46.44,60.40
95.53,42.19,66.92
97.85,43.72,73.21
98.33,43.84,80.00
99.39,48.56,86.45
99.74,49.35,92.91
99.82,50.85,99.44
100.00,51.04,105.91
100.00,54.58,112.69
100.00,53.21,119.11
100.00,53.25,125.76
100.00,55.92,132.10
100.00,56.67,138.87
100.00,52.93,145.47
100.00,55.37,152.03
100.00,54.58,158.75
100.00,55.45,165.43
100.00,55.80,172.08
100.00,56.24,178.54
100.00,56.12,184.99
100.00,55.77,191.27
100.00,56.71,197.74
100.00,56.67,204.15
100.00,56.04,210.37
100.00,55.45,216.63
100.00,56.63,222.91
100.00,56.43,229.24
100.00,56.91,235.58
100.00,57.10,241.80
100.00,56.55,248.62
100.00,56.83,254.97
100.00,56.91,261.23
100.00,56.91,267.49
100.00,56.59,274.00
100.00,56.79,280.39
100.00,55.02,286.77
100.00,56.95,293.11
100.00,56.91,299.65
100.00,56.55,305.95
100.00,56.75,312.59
100.00,56.75,312.59
