train,validation,test,min
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
7.93,6.95,7.14,0.00
39.79,35.14,28.57,0.00
42.90,39.77,37.50,0.00
47.94,43.63,44.64,0.00
60.21,49.42,50.00,0.00
71.34,60.23,58.04,0.00
79.36,67.18,64.29,12.50
83.83,71.43,68.75,12.50
87.16,76.83,71.43,12.50
89.66,78.76,74.11,12.50
91.24,76.83,74.11,18.75
92.99,80.69,76.79,18.75
93.78,82.24,77.68,18.75
95.35,84.94,78.57,31.25
96.14,86.10,78.57,37.50
97.63,86.49,80.36,37.50
98.07,86.10,83.04,43.75
98.55,88.42,83.04,50.00
