Total:    16 | Class: 0 | [0,3,0,13,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.030
Total:    16 | Class: 1 | [0,0,0,8,8,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 2 | [0,1,0,14,1,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 3 | [0,3,0,13,0,0,0] | Acc: 81.25 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 4 | [0,0,0,16,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 5 | [0,1,0,14,1,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 6 | [0,0,0,14,2,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.030
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 2 | [0,0,13,2,0,1,0] | Acc: 81.25 | Acc2: 0.00 | Time: 0.016
Total:    16 | Class: 3 | [0,0,2,13,1,0,0] | Acc: 81.25 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 4 | [0,0,0,1,15,0,0] | Acc: 93.75 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 81.25 | Time: 0.031
Total:    16 | Class: 6 | [0,9,0,0,0,0,7] | Acc: 43.75 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 6.25 | Time: 0.031
Total:    16 | Class: 2 | [0,0,15,1,0,0,0] | Acc: 93.75 | Acc2: 68.75 | Time: 0.031
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.00 | Acc2: 68.75 | Time: 0.031
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.00 | Acc2: 93.75 | Time: 0.047
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 6 | [0,0,0,0,0,0,16] | Acc: 100.00 | Acc2: 12.50 | Time: 0.040
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.016
Total:    16 | Class: 2 | [0,0,15,1,0,0,0] | Acc: 93.75 | Acc2: 87.50 | Time: 0.016
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.016
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.016
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.016
Total:    16 | Class: 6 | [0,0,0,0,0,0,16] | Acc: 100.00 | Acc2: 37.50 | Time: 0.031
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.016
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.00 | Acc2: 87.50 | Time: 0.031
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.016
Total:    16 | Class: 6 | [0,0,0,0,0,0,16] | Acc: 100.00 | Acc2: 81.25 | Time: 0.016
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.00 | Acc2: 93.75 | Time: 0.031
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.016
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 6 | [0,0,0,0,0,0,16] | Acc: 100.00 | Acc2: 93.75 | Time: 0.031
