Total:    16 | Class: 0 | [0,1,0,2,8,5,0] | Acc: 0.000 | Acc2: 0.000 | Time: 0.045
Total:    16 | Class: 1 | [0,0,0,8,5,3,0] | Acc: 0.000 | Acc2: 0.000 | Time: 0.038
Total:    16 | Class: 2 | [0,0,0,6,7,3,0] | Acc: 0.000 | Acc2: 0.000 | Time: 0.038
Total:    16 | Class: 3 | [0,0,1,8,7,0,0] | Acc: 50.000 | Acc2: 0.000 | Time: 0.033
Total:    16 | Class: 4 | [0,0,0,3,7,6,0] | Acc: 43.750 | Acc2: 0.000 | Time: 0.037
Total:    16 | Class: 5 | [0,0,0,7,7,2,0] | Acc: 12.500 | Acc2: 0.000 | Time: 0.034
Total:    16 | Class: 6 | [0,0,0,9,3,3,1] | Acc: 6.250 | Acc2: 0.000 | Time: 0.035
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.036
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Acc2: 56.250 | Time: 0.037
Total:    16 | Class: 2 | [0,0,13,3,0,0,0] | Acc: 81.250 | Acc2: 37.500 | Time: 0.036
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Acc2: 81.250 | Time: 0.036
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.040
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.049
Total:    16 | Class: 6 | [0,10,0,0,0,0,6] | Acc: 37.500 | Acc2: 0.000 | Time: 0.033
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.037
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Acc2: 93.750 | Time: 0.037
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.037
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Acc2: 93.750 | Time: 0.036
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.042
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.039
Total:    16 | Class: 6 | [0,4,0,0,0,0,12] | Acc: 75.000 | Acc2: 37.500 | Time: 0.036
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.037
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.036
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.037
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.037
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.044
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.040
Total:    16 | Class: 6 | [0,2,0,0,0,0,14] | Acc: 87.500 | Acc2: 81.250 | Time: 0.046
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.040
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.035
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.047
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.039
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.036
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.034
Total:    16 | Class: 6 | [0,2,0,0,0,0,14] | Acc: 87.500 | Acc2: 81.250 | Time: 0.032
