Total:    16 | Class: 0 | [0,0,9,0,0,3,4] | Acc: 0.000 | Acc2: 0.000 | Time: 0.034
Total:    16 | Class: 1 | [0,0,6,0,3,1,6] | Acc: 0.000 | Acc2: 0.000 | Time: 0.030
Total:    16 | Class: 2 | [0,0,4,0,4,0,8] | Acc: 25.000 | Acc2: 0.000 | Time: 0.031
Total:    16 | Class: 3 | [0,0,1,0,4,5,6] | Acc: 0.000 | Acc2: 0.000 | Time: 0.041
Total:    16 | Class: 4 | [0,0,3,0,3,8,2] | Acc: 18.750 | Acc2: 0.000 | Time: 0.030
Total:    16 | Class: 5 | [0,0,6,0,4,1,5] | Acc: 6.250 | Acc2: 0.000 | Time: 0.037
Total:    16 | Class: 6 | [0,0,6,0,6,2,2] | Acc: 12.500 | Acc2: 0.000 | Time: 0.034
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Acc2: 0.000 | Time: 0.029
Total:    16 | Class: 1 | [0,13,0,0,0,0,3] | Acc: 81.250 | Acc2: 0.000 | Time: 0.032
Total:    16 | Class: 2 | [1,0,1,1,0,11,2] | Acc: 6.250 | Acc2: 0.000 | Time: 0.031
Total:    16 | Class: 3 | [2,0,0,3,2,8,1] | Acc: 18.750 | Acc2: 0.000 | Time: 0.032
Total:    16 | Class: 4 | [0,1,0,0,11,1,3] | Acc: 68.750 | Acc2: 0.000 | Time: 0.031
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Acc2: 0.000 | Time: 0.031
Total:    16 | Class: 6 | [0,10,0,0,0,0,6] | Acc: 37.500 | Acc2: 0.000 | Time: 0.029
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.028
Total:    16 | Class: 1 | [0,15,0,0,0,0,1] | Acc: 93.750 | Acc2: 0.000 | Time: 0.030
Total:    16 | Class: 2 | [0,0,8,7,0,1,0] | Acc: 50.000 | Acc2: 0.000 | Time: 0.030
