Total:    16 | Class: 0 | [5,6,2,3,0,0,0] | Acc: 31.25 | File: dataset\ori\test\1\1_4.bmp | Time: 0.605378
Total:    16 | Class: 1 | [0,7,0,3,0,0,6] | Acc: 43.75 | File: dataset\ori\test\2\2_4.bmp | Time: 0.027072
Total:    16 | Class: 2 | [0,4,7,0,4,1,0] | Acc: 43.75 | File: dataset\ori\test\3\3_4.bmp | Time: 0.023563
Total:    16 | Class: 3 | [0,4,7,1,4,0,0] | Acc: 6.25 | File: dataset\ori\test\4\4_4.bmp | Time: 0.026597
Total:    16 | Class: 0 | [5,6,2,3,0,0,0] | Acc: 31.25 | File: dataset\ori\test\1\1_4.bmp | Time: 0.578787
Total:    16 | Class: 0 | [5,6,2,3,0,0,0] | Acc: 31.25 | File: dataset\ori\test\1\1_4.bmp | Time: 0.591648
Total:    16 | Class: 0 | [5,6,2,3,0,0,0] | Acc: 31.25 | File: dataset\ori\test\1\1_4.bmp | Time: 0.675783
Total:    16 | Class: 0 | [5,6,2,3,0,0,0] | Acc: 31.25 | File: dataset\ori\test\1\1_4.bmp | Time: 0.608117
Total:    16 | Class: 0 | [5,6,2,3,0,0,0] | Acc: 31.25 | File: dataset\ori\test\1\1_4.bmp | Time: 0.576713
Total:    16 | Class: 0 | [5,6,2,3,0,0,0] | Acc: 31.25 | File: dataset\ori\test\1\1_4.bmp | Time: 0.630046
Total:    16 | Class: 0 | [5,6,2,3,0,0,0] | Acc: 31.25 | File: dataset\ori\test\1\1_4.bmp | Time: 0.865791
Total:    16 | Class: 1 | [0,7,0,3,0,0,6] | Acc: 43.75 | File: dataset\ori\test\2\2_4.bmp | Time: 0.023544
Total:    16 | Class: 0 | [5,6,2,3,0,0,0] | Acc: 31.25 | File: dataset\ori\test\1\1_4.bmp | Time: 0.876966
Total:    16 | Class: 0 | [5,6,2,3,0,0,0] | Acc: 31.25 | File: dataset\ori\test\1\1_4.bmp | Time: 0.629117
Total:    16 | Class: 0 | [5,6,2,3,0,0,0] | Acc: 31.25 | File: dataset\ori\test\1\1_4.bmp | Time: 0.576610
Total:    16 | Class: 1 | [5,6,2,3,0,0,0] | Acc: 37.50 | File: dataset\ori\test\1\1_4.bmp | Time: 0.299305
Total:    16 | Class: 0 | [5,6,2,3,0,0,0] | Acc: 31.25 | File: dataset\ori\test\1\1_4.bmp | Time: 0.022078
