train,validation,test,min
12.00,12.00,0.00,0.00
77.00,72.00,28.57,0.00
88.00,83.00,50.00,0.00
95.00,93.00,60.71,6.25
97.00,95.00,73.21,31.25
98.00,97.00,85.71,62.50
99.00,97.00,89.29,75.00
99.00,97.00,90.18,68.75
99.00,98.00,91.07,62.50
100.00,98.00,93.75,75.00
99.00,98.00,91.07,62.50
100.00,98.00,92.86,75.00
100.00,99.00,94.64,87.50
100.00,98.00,93.75,81.25
100.00,99.00,93.75,81.25
100.00,98.00,94.64,87.50
100.00,98.00,96.43,87.50
100.00,98.00,95.54,87.50
100.00,99.00,95.54,87.50
100.00,99.00,94.64,87.50
100.00,99.00,95.54,81.25
100.00,99.00,93.75,81.25
100.00,99.00,93.75,81.25
100.00,99.00,95.54,87.50
100.00,100.00,97.32,93.75
