train,validation,test,min
15.00,14.00,0.00,0.00
14.00,14.00,0.00,0.00
15.00,15.00,8.93,0.00
23.00,22.00,10.71,0.00
30.00,29.00,11.61,0.00
45.00,46.00,13.39,0.00
55.00,55.00,13.39,0.00
57.00,54.00,13.39,0.00
57.00,54.00,14.29,0.00
58.00,53.00,14.29,0.00
61.00,55.00,14.29,0.00
61.00,54.00,14.29,0.00
63.00,56.00,14.29,0.00
62.00,56.00,14.29,0.00
67.00,61.00,14.29,0.00
65.00,59.00,14.29,0.00
67.00,61.00,16.96,0.00
68.00,63.00,18.75,0.00
71.00,67.00,22.32,0.00
72.00,67.00,25.89,0.00
