train,validation,test,min
16.00,20.00,0.00,0.00
51.00,44.00,0.00,0.00
81.00,70.00,14.29,0.00
86.00,78.00,25.89,0.00
88.00,76.00,37.50,0.00
91.00,83.00,44.64,0.00
93.00,88.00,50.00,0.00
95.00,92.00,58.04,0.00
95.00,92.00,65.18,6.25
96.00,92.00,70.54,0.00
97.00,94.00,73.21,6.25
97.00,95.00,75.89,25.00
98.00,95.00,76.79,18.75
98.00,95.00,76.79,18.75
98.00,96.00,82.14,50.00
98.00,96.00,82.14,31.25
98.00,95.00,83.04,31.25
98.00,96.00,81.25,18.75
99.00,97.00,80.36,31.25
99.00,98.00,83.93,56.25
