train,validation,test,min
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
27.70,28.19,26.79,0.00
32.16,29.73,33.04,0.00
48.77,44.40,45.54,0.00
57.98,55.60,51.79,0.00
71.08,67.57,60.71,18.75
83.30,77.22,68.75,18.75
88.74,81.08,69.64,43.75
92.68,86.87,76.79,50.00
94.74,88.42,80.36,56.25
95.88,89.19,80.36,50.00
97.28,90.35,82.14,50.00
98.12,90.35,85.71,62.50
98.86,90.73,83.04,56.25
99.26,89.58,84.82,62.50
99.61,92.28,84.82,62.50
99.74,94.59,84.82,62.50
99.78,94.21,85.71,68.75
99.78,93.82,85.71,62.50
