train,validation,test,min
0.00,0.00,0.00,0.00
14.29,14.29,14.29,0.00
27.43,26.64,23.21,0.00
35.23,37.07,33.04,0.00
59.07,57.53,58.93,0.00
67.92,66.02,62.50,0.00
75.77,72.97,69.64,6.25
79.75,75.68,77.68,31.25
84.01,79.54,80.36,43.75
86.42,80.31,81.25,43.75
90.80,83.40,85.71,50.00
92.20,84.56,90.18,68.75
93.56,86.10,91.07,68.75
94.00,84.56,91.96,68.75
94.87,88.03,92.86,68.75
94.39,87.64,92.86,68.75
96.10,89.19,94.64,75.00
96.32,90.73,96.43,75.00
96.01,89.19,91.96,50.00
96.89,92.28,96.43,75.00
96.36,88.80,94.64,75.00
96.84,91.51,95.54,75.00
97.98,90.35,96.43,75.00
98.38,93.44,96.43,75.00
97.98,91.51,96.43,75.00
98.69,94.59,96.43,75.00
99.74,94.98,99.11,93.75
99.91,95.37,98.21,87.50
99.82,96.14,96.43,75.00
99.78,95.37,96.43,75.00
99.87,95.37,97.32,81.25
99.91,96.14,99.11,93.75
99.96,95.75,97.32,81.25
99.87,94.21,95.54,75.00
99.87,94.21,98.21,87.50
100.00,94.59,99.11,93.75
100.00,96.53,97.32,87.50
100.00,96.91,99.11,93.75
100.00,95.37,99.11,93.75
100.00,97.30,98.21,93.75
100.00,96.53,99.11,93.75
100.00,95.75,99.11,93.75
100.00,96.14,99.11,93.75
100.00,96.91,97.32,87.50
100.00,96.14,98.21,93.75
100.00,96.14,98.21,93.75
99.96,96.53,98.21,93.75
100.00,94.98,97.32,87.50
100.00,96.53,98.21,93.75
100.00,96.14,99.11,93.75
100.00,95.75,98.21,93.75
100.00,96.53,98.21,93.75
