################ TRAINING REPORT #################
# Images path   | ..\datasets\mnist\
# Validation    | 0.30
# Images size   | (28,28)
# Architecure   | mnist
# Bacth Size    | 1024
# Snap/Epoch    | 5
# Max epochs    | 500
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,11.76,0.00,11.90,0.00,12.80,0.00,False
98.35,99.07,98.15,98.65,98.10,98.82,53.82,True
99.16,99.61,98.70,99.05,98.41,98.92,105.13,True
99.36,99.72,98.25,99.25,98.52,99.09,156.26,True
99.32,99.71,98.95,99.30,98.42,98.95,207.41,True
99.49,99.75,98.55,99.30,98.55,99.04,258.08,True
99.65,99.81,98.60,99.20,98.75,99.10,308.76,True
99.73,99.89,98.75,99.25,98.81,99.11,359.58,True
99.73,99.87,98.70,99.25,98.58,98.99,410.73,False
99.63,99.82,98.70,99.00,98.62,99.11,461.32,False
99.63,99.83,98.75,99.30,98.65,99.10,522.48,False
99.78,99.91,98.95,99.25,98.88,99.16,590.35,True
99.73,99.88,98.70,99.20,98.62,99.06,658.60,False
99.76,99.89,99.10,99.50,98.70,99.10,727.65,True
99.70,99.86,99.20,99.50,98.70,99.04,796.09,True
99.69,99.87,99.00,99.40,98.55,98.92,865.11,False
99.77,99.88,98.90,99.40,98.62,99.05,933.77,False
99.69,99.87,98.80,99.35,98.52,98.96,984.94,False
99.72,99.88,98.70,98.90,98.52,99.00,1036.63,False
99.68,99.85,98.85,99.30,98.49,98.92,1087.48,False
99.75,99.89,99.05,99.35,98.64,98.99,1138.16,False
99.74,99.88,98.45,99.05,98.56,98.98,1190.61,False
99.68,99.89,98.95,99.20,98.45,98.80,1242.56,False
99.69,99.87,98.80,99.15,98.62,99.01,1294.27,False
99.73,99.87,98.80,99.35,98.38,98.88,1345.99,False
99.70,99.86,99.20,99.50,98.70,99.04,1345.99,False
