################ TRAINING REPORT #################
# Images path   | ../datasets/cifar10/
# Validation    | 0.30
# Images size   | (32,32)
# Architecure   | cifar10_mod
# Bacth Size    | 128
# Snap/Epoch    | 5
# Max epochs    | 500
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,11.37,0.00,11.90,0.00,11.51,0.00,False
64.90,85.57,52.40,72.75,54.55,73.81,239.13,True
86.51,95.36,61.50,72.90,63.72,74.66,473.30,True
94.90,98.93,64.20,74.35,64.40,74.09,707.95,True
97.78,99.51,65.35,74.10,67.26,75.14,941.78,True
98.30,99.58,65.70,73.45,66.96,75.05,1174.82,True
99.17,99.82,67.35,75.10,68.04,75.32,1405.89,True
98.87,99.75,65.70,72.55,67.26,74.75,1632.31,False
99.31,99.86,66.15,73.40,68.10,74.94,1859.35,True
99.08,99.72,67.05,74.35,67.68,75.18,2094.01,False
99.52,99.90,67.15,73.75,68.44,75.02,2322.43,True
99.69,99.93,67.50,73.85,69.15,75.86,2548.77,True
99.67,99.94,66.90,74.85,68.82,75.89,2776.39,False
99.37,99.83,67.60,74.50,67.47,74.89,3008.23,True
99.71,99.95,68.00,75.35,68.44,75.85,3236.15,True
99.59,99.90,65.80,73.45,68.12,74.82,3463.90,False
99.51,99.86,67.30,74.20,68.12,74.68,3699.50,False
99.67,99.92,66.65,73.50,67.71,74.50,3944.35,False
99.87,99.96,68.10,74.20,68.40,75.05,4181.44,True
99.84,99.96,67.85,74.60,68.76,75.36,4418.05,False
99.71,99.92,67.55,73.65,68.45,75.06,4648.01,False
99.50,99.87,66.55,74.90,67.25,74.50,4882.20,False
99.67,99.90,67.40,75.10,67.92,74.38,5119.45,False
99.74,99.94,65.85,73.85,68.23,75.08,5353.07,False
99.80,99.93,66.80,74.10,68.71,75.14,5588.61,False
99.81,99.95,68.25,74.75,68.40,75.09,5818.20,True
99.70,99.91,68.20,74.55,68.62,75.11,9088.39,False
99.64,99.91,65.00,72.05,68.16,75.06,9332.62,False
99.91,99.99,68.75,75.45,68.54,74.90,9582.21,True
99.88,99.97,68.25,75.40,68.20,74.90,9830.52,False
99.88,99.97,67.85,75.35,68.73,75.54,10076.84,False
99.85,99.97,68.35,73.75,68.35,74.95,10324.68,False
99.87,99.96,67.30,74.00,68.34,75.25,10574.31,False
99.84,99.97,68.20,75.10,68.38,75.21,10825.75,False
99.88,99.97,67.70,74.30,68.59,74.98,11078.53,False
99.90,99.98,67.80,74.05,68.70,74.94,11332.97,False
99.80,99.96,66.05,73.70,67.73,74.59,11586.06,False
99.89,99.99,68.30,75.15,68.51,75.52,11837.84,False
99.94,99.99,69.35,75.30,69.16,75.44,12083.50,True
99.92,99.99,67.15,74.20,68.39,75.34,12332.82,False
99.88,99.97,68.25,75.40,68.70,74.86,12582.08,False
99.89,99.96,67.25,74.05,69.19,75.24,12833.08,True
99.94,99.99,67.70,73.50,68.60,74.55,13077.65,False
99.96,99.99,67.80,74.55,68.47,75.09,13322.91,False
99.89,99.97,68.60,74.40,68.99,75.08,13577.88,False
99.92,99.99,68.45,74.10,68.53,74.54,13829.03,False
99.92,99.96,68.20,74.95,68.74,74.82,14070.45,False
99.89,99.97,67.85,74.45,68.50,75.24,14326.85,False
99.93,99.99,67.10,74.65,68.81,75.28,14585.32,False
99.87,99.96,67.70,75.20,68.86,75.01,14828.44,False
99.85,99.96,68.45,74.45,68.47,74.65,15081.02,False
99.89,99.97,68.10,74.70,68.84,75.32,15325.67,False
99.92,99.98,69.50,75.20,69.19,74.60,15572.98,True
99.90,99.97,67.70,74.40,68.82,74.99,15815.59,False
99.87,99.95,68.00,73.55,68.51,74.75,16050.56,False
