Total:    16 | Class: 0 | [3,3,6,1,3,0,0] | Acc: 0.000 | Time: 0.239
Total:    16 | Class: 1 | [1,6,4,2,2,1,0] | Acc: 0.000 | Time: 0.080
Total:    16 | Class: 2 | [1,6,7,2,0,0,0] | Acc: 0.000 | Time: 0.079
Total:    16 | Class: 3 | [5,6,3,2,0,0,0] | Acc: 0.000 | Time: 0.078
Total:    16 | Class: 4 | [5,4,7,0,0,0,0] | Acc: 0.000 | Time: 0.079
Total:    16 | Class: 5 | [5,2,8,1,0,0,0] | Acc: 0.000 | Time: 0.077
Total:    16 | Class: 6 | [3,7,4,2,0,0,0] | Acc: 0.000 | Time: 0.078
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Time: 0.080
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Time: 0.080
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Time: 0.080
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Time: 0.087
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Time: 0.076
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Time: 0.076
Total:    16 | Class: 6 | [0,0,0,0,0,0,16] | Acc: 100.000 | Time: 0.077
