################ TRAINING REPORT #################
# Images path   | ./dataset/signals/train/
# Validation    | 0.30
# Images shape  | (32,32,2)
# Architecure   | gtsd
# Batch size    | 256
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,3.49,0.00,3.50,0.00,3.57,0.00,True
96.12,98.96,49.19,61.08,42.97,53.85,123.65,True
99.54,99.91,53.42,62.76,45.56,54.28,244.23,True
99.65,99.91,55.28,63.78,46.44,54.07,364.94,True
99.56,99.88,55.79,63.95,46.88,54.32,485.77,True
99.42,99.79,54.93,62.65,46.08,53.29,605.12,False
99.72,99.90,57.27,64.48,47.42,54.51,725.42,True
99.72,99.89,56.92,64.50,48.08,55.61,846.18,True
99.79,99.90,57.09,63.73,48.51,55.46,973.49,False
99.81,99.90,57.09,64.50,48.33,55.57,1105.17,False
99.85,99.95,56.20,64.41,48.20,56.16,1231.78,True
99.86,99.93,57.32,64.58,49.62,56.26,1359.46,True
99.83,99.91,56.93,65.23,48.88,56.27,1479.59,True
99.84,99.90,57.26,64.86,49.27,56.29,1600.01,True
99.80,99.90,57.00,65.03,48.38,56.11,1722.24,False
99.87,99.91,56.90,65.41,48.87,56.79,1843.28,True
99.81,99.94,56.78,65.36,48.60,56.53,1963.64,False
99.86,99.93,56.98,66.38,48.61,56.92,2082.55,True
99.88,99.95,57.28,66.02,48.72,57.32,2202.35,True
99.90,99.95,57.41,65.88,48.61,56.92,2321.74,True
99.85,99.93,56.66,66.34,47.99,56.98,2441.76,False
99.83,99.94,56.15,66.33,48.38,57.79,2565.25,True
99.82,99.90,55.87,65.95,46.96,56.18,2688.14,False
99.82,99.93,55.53,65.70,47.13,56.19,2817.71,False
99.88,99.96,55.60,65.38,47.17,56.44,2952.24,False
99.90,99.95,54.74,66.00,47.42,57.24,3090.10,False
99.86,99.96,54.55,65.84,46.45,56.85,3215.01,False
99.87,99.96,55.76,66.28,46.96,56.89,3338.78,False
99.85,99.93,55.28,66.57,46.55,56.87,3465.19,False
99.89,99.95,54.71,66.51,45.88,57.17,3587.48,False
99.85,99.94,54.15,65.85,45.59,56.73,3713.06,False
99.86,99.95,54.35,66.39,45.88,57.32,3839.13,False
99.83,99.94,56.15,66.33,48.38,57.79,3839.13,False
