################ TRAINING REPORT #################
# Images path   | ./dataset/signals/train/
# Validation    | 0.30
# Images size   | (32,32)
# Architecure   | cifar10
# Bacth Size    | 64
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,1.80,0.00,1.66,0.00,1.71,0.00,True
99.61,99.87,94.17,96.23,86.00,88.86,163.79,True
99.64,99.86,94.70,96.37,88.32,90.69,324.09,True
99.92,99.96,95.89,96.63,88.22,89.42,490.02,True
99.81,99.92,95.40,96.34,87.81,89.17,649.28,False
99.92,99.95,95.42,96.11,89.28,90.65,809.92,False
99.97,99.98,96.87,97.55,89.23,90.32,977.06,True
99.99,100.00,97.26,97.61,88.82,89.38,1143.68,True
99.93,99.97,97.13,97.51,90.45,91.28,1308.10,True
99.89,99.94,96.68,97.15,91.15,92.00,1472.05,True
99.94,99.98,96.79,97.25,90.49,91.19,1634.99,False
99.98,99.99,97.20,97.48,90.91,91.35,1802.66,False
99.97,99.97,97.34,97.45,90.23,90.49,1957.79,True
99.99,100.00,97.65,97.82,90.73,91.07,2113.46,True
99.98,99.99,97.48,97.63,89.86,90.18,2277.73,False
99.97,99.97,97.10,97.23,91.99,92.21,2439.66,True
99.99,100.00,97.31,97.44,91.12,91.39,2601.80,False
99.93,99.95,97.26,97.40,90.99,91.15,2765.91,False
99.99,100.00,97.42,97.54,91.40,91.56,2928.01,False
99.95,99.95,96.65,96.78,90.65,90.87,3082.39,False
99.98,99.98,97.38,97.52,91.07,91.28,3245.93,False
100.00,100.00,97.95,98.00,91.83,91.99,3406.67,True
99.97,99.97,97.41,97.53,90.50,90.76,3568.14,False
99.96,99.96,97.65,97.76,89.91,90.05,3732.89,False
99.98,99.98,96.80,96.85,90.31,90.42,3897.47,False
99.97,99.97,97.00,97.13,91.13,91.26,4059.48,False
100.00,100.00,97.78,97.84,91.08,91.17,4216.04,False
99.99,99.99,97.15,97.20,90.36,90.38,4373.80,False
99.98,99.98,97.46,97.49,90.28,90.36,4534.92,False
99.98,99.98,97.79,97.84,90.59,90.66,4699.04,False
99.99,99.99,97.56,97.60,89.64,89.74,4861.57,False
100.00,100.00,97.19,97.25,89.55,89.61,5024.83,False
99.99,99.99,97.74,97.75,90.85,90.90,5182.72,False
99.97,99.97,97.19,97.29,89.07,89.14,5336.85,False
99.99,99.99,97.14,97.19,90.85,90.91,5493.00,False
99.99,99.99,97.19,97.19,90.58,90.69,5653.75,False
99.98,99.98,97.43,97.48,90.20,90.26,5817.98,False
99.98,99.98,97.55,97.56,89.89,89.94,5970.59,False
99.99,100.00,97.68,97.70,89.40,89.42,6133.13,False
99.99,99.99,97.90,97.90,90.33,90.34,6293.93,False
99.99,99.99,97.58,97.60,90.12,90.15,6455.65,False
99.97,99.97,97.32,97.36,89.18,89.23,6619.60,False
99.91,99.91,96.33,96.35,87.58,87.63,6784.54,False
100.00,100.00,97.79,97.81,89.43,89.43,6945.57,False
100.00,100.00,97.95,98.00,91.83,91.99,6945.57,False
