################ TRAINING REPORT #################
# Images path   | ./dataset/signals/train/
# Validation    | 0.30
# Images shape  | (32,32,1)
# Architecure   | gtsd
# Batch size    | 64
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,1.37,0.00,1.11,0.00,1.01,0.00,True
98.98,99.44,93.62,95.20,84.77,86.92,158.58,True
99.76,99.83,94.83,95.77,87.03,88.48,314.22,True
99.94,99.97,95.49,96.22,89.26,90.16,467.08,True
99.93,99.95,96.28,96.71,88.26,89.07,622.40,True
99.97,99.98,96.45,96.83,90.66,91.19,781.86,True
99.98,99.98,96.67,97.06,90.47,91.09,936.29,True
99.99,99.99,96.85,97.08,90.24,90.82,1092.27,True
99.99,99.99,97.02,97.29,91.75,92.12,1248.50,True
99.96,99.97,96.82,97.08,90.75,91.25,1403.79,False
99.99,99.99,97.31,97.50,91.24,91.67,1559.72,True
99.95,99.95,96.91,97.08,90.89,91.26,1716.89,False
100.00,100.00,97.32,97.66,91.41,91.79,1872.91,True
99.99,99.99,97.08,97.27,91.35,91.63,2026.76,False
100.00,100.00,97.23,97.38,91.62,91.92,2182.71,False
100.00,100.00,97.63,97.76,90.89,91.17,7476.88,True
100.00,100.00,97.17,97.32,90.94,91.23,7632.38,False
99.91,99.93,96.82,96.99,89.67,89.92,7787.76,False
100.00,100.00,97.46,97.57,92.22,92.41,7943.11,True
100.00,100.00,97.46,97.58,90.50,90.67,8098.03,False
99.94,99.94,97.38,97.50,90.64,90.91,8254.81,False
100.00,100.00,97.59,97.72,91.21,91.35,8419.30,False
99.98,99.98,97.53,97.66,91.69,91.84,8577.69,False
99.99,99.99,97.35,97.49,91.51,91.66,8742.15,False
100.00,100.00,97.71,97.76,91.31,91.48,8918.43,True
100.00,100.00,97.90,98.02,92.41,92.59,9075.48,True
100.00,100.00,97.90,98.02,92.41,92.59,9075.48,True
