################ TRAINING REPORT #################
# Images path   | ./dataset/signals/train/
# Validation    | 0.30
# Images shape  | (32,32,1)
# Architecure   | gtsd
# Batch size    | 256
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,2.61,0.00,2.04,0.00,1.79,0.00,True
99.89,99.99,91.21,95.39,79.87,85.89,131.68,True
99.87,99.97,92.31,96.00,81.96,88.04,261.46,True
99.87,99.97,92.95,96.32,80.35,85.93,391.56,True
99.87,99.97,93.34,96.29,82.36,87.49,523.36,True
99.91,99.98,93.23,96.39,81.75,87.09,655.02,False
99.95,99.99,93.51,96.87,84.54,89.20,788.23,True
99.90,99.99,92.68,96.41,82.26,88.23,914.27,False
99.89,99.96,93.39,96.78,82.73,88.62,1042.59,False
99.92,99.98,93.62,96.78,83.04,89.43,1172.79,True
99.90,99.97,92.66,96.80,83.01,89.36,1300.57,False
99.93,99.99,93.45,96.87,83.48,89.53,1428.48,True
99.89,99.96,93.53,97.20,83.82,90.24,1558.79,True
99.88,99.97,93.63,96.91,83.60,89.83,1689.30,True
99.92,99.97,93.52,97.08,83.92,90.31,1814.02,True
99.87,99.99,92.30,96.86,82.36,90.14,1937.73,False
99.93,99.96,92.58,96.94,81.82,88.86,2063.80,False
99.93,99.99,93.17,96.99,83.71,90.29,2190.79,False
99.94,99.99,93.29,97.06,84.96,91.15,2315.09,True
99.95,99.98,92.79,96.88,82.41,89.20,2445.39,False
99.92,99.99,92.26,96.65,81.27,89.10,2584.26,False
99.95,99.99,92.54,96.70,82.91,90.03,2722.69,False
99.93,99.99,92.28,96.74,82.14,89.44,2864.09,False
99.95,99.99,92.79,97.15,82.98,90.06,3001.25,False
99.94,99.98,93.05,97.05,83.37,90.00,3132.15,False
99.96,99.99,92.72,97.04,83.05,90.04,3260.76,False
99.96,100.00,92.93,97.28,82.53,90.38,3396.86,False
99.95,99.99,93.26,97.36,83.50,90.50,3532.67,False
99.94,99.99,93.29,97.06,84.96,91.15,3532.67,False
