################ TRAINING REPORT #################
# Images path   | ./dataset/signals/train/
# Validation    | 0.30
# Images size   | (32,32)
# Architecure   | cifar10
# Bacth Size    | 64
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,2.03,0.00,1.58,0.00,2.16,0.00,True
91.15,97.44,49.94,61.82,42.87,53.30,144.79,True
98.05,99.52,54.94,63.16,47.61,55.20,287.50,True
99.07,99.75,57.29,64.68,49.19,55.50,430.53,True
99.34,99.81,56.97,63.46,48.99,54.91,572.67,False
99.71,99.92,58.69,63.98,51.07,55.69,715.67,True
99.74,99.93,60.18,64.94,52.30,56.53,858.66,True
99.70,99.92,58.33,63.70,50.33,54.83,1001.56,False
99.85,99.93,59.53,64.12,51.58,55.64,1143.61,False
99.90,99.96,59.55,64.19,51.32,55.70,1285.98,False
99.89,99.93,60.40,64.95,51.33,55.48,1428.04,True
99.80,99.88,61.29,64.81,53.09,56.08,1570.70,True
99.95,99.97,61.73,65.03,53.47,56.45,1713.89,True
99.95,99.98,62.11,65.44,53.62,56.75,1857.07,True
99.97,99.99,62.51,65.68,53.58,56.63,1999.32,True
99.99,99.99,62.56,65.87,54.61,57.42,2141.75,True
99.92,99.96,62.02,64.69,54.04,56.63,2283.89,False
99.97,99.98,62.54,65.31,54.48,56.92,2426.50,False
99.93,99.96,61.68,64.92,53.59,56.21,2569.61,False
99.94,99.97,62.86,65.61,54.70,57.34,2712.26,True
99.96,99.98,62.62,65.38,54.48,56.74,2855.25,False
99.99,99.99,63.13,65.65,54.51,56.93,2997.07,True
99.97,100.00,62.65,65.60,54.26,56.69,3139.87,False
99.97,99.99,62.90,65.52,54.05,56.67,3282.26,False
99.99,99.99,62.93,65.95,54.00,56.53,3424.33,False
99.98,99.99,63.77,66.16,54.58,56.70,3566.78,True
99.97,99.99,63.73,65.87,54.79,56.59,3709.60,False
99.97,99.98,62.46,64.47,54.32,56.30,3852.26,False
99.97,99.97,64.04,66.03,54.31,56.16,3995.20,True
99.99,100.00,63.40,65.20,55.02,56.85,4138.30,False
99.98,99.99,63.70,65.88,54.37,56.36,4281.01,False
100.00,100.00,63.28,65.29,55.18,57.03,4424.26,False
100.00,100.00,63.74,65.40,55.24,56.90,4566.84,False
99.97,99.98,63.50,65.65,54.74,56.51,4709.87,False
99.99,99.99,64.90,66.47,55.89,57.54,4852.09,True
99.98,99.99,65.02,66.59,56.38,57.87,4994.98,True
99.97,99.99,63.97,65.56,55.08,56.63,5137.83,False
99.99,100.00,64.61,66.28,55.64,57.21,5280.22,False
99.97,99.98,64.14,65.92,54.55,56.03,5423.10,False
99.99,99.99,64.07,65.83,54.56,55.94,5565.78,False
99.97,99.99,64.23,65.85,54.90,56.20,5709.20,False
99.99,99.99,64.49,66.03,55.18,56.51,5852.23,False
99.97,99.99,64.29,65.69,55.25,56.62,5994.61,False
99.86,99.89,63.91,65.57,54.59,56.04,6138.00,False
99.97,99.98,63.39,64.80,55.00,56.44,6280.16,False
99.99,100.00,64.57,65.99,56.79,58.22,6423.37,True
99.98,99.99,64.20,65.50,56.65,57.95,6565.81,False
99.99,100.00,64.75,65.80,56.09,57.30,6708.80,False
99.98,99.99,63.27,64.58,55.10,56.42,6852.27,False
99.99,99.99,63.60,64.82,56.04,57.02,6994.93,False
99.99,99.99,63.67,64.86,55.05,56.17,7137.72,False
100.00,100.00,64.24,65.33,55.41,56.36,7280.05,False
99.99,99.99,63.72,64.80,55.47,56.48,7422.72,False
100.00,100.00,64.75,65.84,56.04,57.26,7565.11,False
100.00,100.00,64.18,65.14,55.85,56.63,7708.32,False
99.99,99.99,64.89,65.83,56.08,57.04,7851.66,False
99.97,99.99,63.51,64.36,54.54,55.28,7995.16,False
99.99,99.99,65.13,66.00,57.38,58.33,8137.75,True
100.00,100.00,65.03,65.83,55.93,56.88,8280.50,False
99.99,100.00,65.14,65.94,56.53,57.51,8422.52,True
99.99,99.99,64.62,65.37,56.47,57.20,8565.97,False
100.00,100.00,64.75,65.48,55.83,56.54,8709.00,False
99.99,100.00,66.01,66.57,56.83,57.53,8852.13,True
100.00,100.00,64.69,65.41,56.48,57.16,8994.29,False
100.00,100.00,65.60,66.25,57.31,57.96,9137.36,False
99.99,99.99,64.63,65.23,55.81,56.39,9280.17,False
99.99,99.99,64.41,65.14,56.36,57.00,9422.58,False
100.00,100.00,64.80,65.55,56.56,57.18,9565.61,False
100.00,100.00,64.69,65.16,56.16,56.58,9708.30,False
100.00,100.00,64.68,65.23,56.66,57.24,9851.08,False
100.00,100.00,65.27,65.69,57.58,58.02,9994.26,False
99.98,99.99,65.10,65.66,57.08,57.62,10137.20,False
99.99,99.99,63.93,64.48,55.53,55.86,10279.80,False
100.00,100.00,64.94,65.44,56.84,57.29,10422.54,False
99.99,99.99,63.81,64.33,55.19,55.62,10564.88,False
100.00,100.00,64.62,65.05,56.95,57.27,10707.43,False
100.00,100.00,65.38,65.81,57.28,57.64,10849.61,False
100.00,100.00,64.65,64.97,56.27,56.57,10992.24,False
99.99,99.99,64.63,65.03,56.20,56.43,11135.51,False
100.00,100.00,65.98,66.35,56.95,57.25,11278.43,False
100.00,100.00,65.16,65.44,56.33,56.64,11421.01,False
100.00,100.00,66.09,66.31,57.43,57.65,11562.98,True
99.98,99.98,65.13,65.35,56.49,56.76,11705.96,False
99.98,99.98,65.51,65.72,57.11,57.29,11850.00,False
99.99,99.99,66.12,66.32,57.46,57.72,11993.13,True
99.99,99.99,65.99,66.15,57.01,57.16,12136.19,False
99.99,99.99,63.90,64.05,55.48,55.65,12279.40,False
99.99,99.99,66.25,66.39,57.30,57.46,12421.11,True
99.99,99.99,65.66,65.79,55.99,56.11,12563.19,False
99.97,99.97,65.59,65.74,56.57,56.72,12704.60,False
99.99,99.99,66.47,66.63,56.95,57.09,12846.15,True
99.99,99.99,66.05,66.17,56.94,57.03,12988.51,False
99.94,99.95,64.95,65.05,56.16,56.24,13131.70,False
99.99,99.99,65.75,65.87,57.87,57.94,13274.38,False
99.93,99.94,65.69,65.74,56.99,57.06,13417.75,False
