train,validation,time
0.00,0.00,0.00
20.02,19.66,5.88
38.98,39.45,10.88
42.07,42.33,15.98
42.86,42.86,20.69
49.33,46.92,25.77
56.58,52.69,30.51
63.95,59.76,35.27
69.01,63.96,40.12
74.52,68.55,45.00
80.65,76.80,49.84
81.05,75.36,54.77
85.88,82.70,59.74
90.66,85.32,64.48
92.86,88.34,69.39
95.95,91.87,74.18
96.79,93.18,79.20
98.59,94.63,83.99
97.92,95.28,88.72
99.38,97.12,93.53
99.72,97.51,98.20
99.61,97.25,103.05
99.33,97.51,107.87
100.00,98.56,112.61
100.00,98.56,112.61
