train,validation,time
0.00,0.00,0.00
26.42,25.93,7.56
54.38,30.30,14.12
83.26,47.03,20.60
96.98,53.21,27.02
98.77,55.57,33.42
99.87,55.96,39.63
100.00,56.04,46.33
100.00,56.67,52.66
100.00,56.63,58.97
100.00,56.75,65.41
100.00,56.63,71.83
100.00,56.79,78.27
100.00,57.42,84.68
100.00,57.02,90.99
100.00,56.95,97.50
100.00,57.02,103.85
100.00,57.26,110.35
100.00,57.02,116.93
100.00,57.02,123.34
100.00,57.54,129.86
100.00,57.14,136.89
100.00,58.13,143.34
100.00,57.62,149.76
100.00,57.06,156.23
100.00,57.85,162.77
100.00,57.06,169.20
100.00,57.06,175.67
100.00,56.95,182.10
100.00,57.14,188.51
100.00,57.26,194.83
100.00,57.14,201.10
100.00,57.38,207.47
100.00,58.40,213.88
100.00,58.52,220.46
100.00,59.11,226.87
100.00,57.02,233.22
100.00,58.76,239.81
100.00,56.83,246.35
100.00,57.54,252.93
100.00,58.40,259.41
100.00,57.18,265.85
100.00,57.06,272.29
100.00,58.99,278.47
100.00,57.02,285.02
100.00,60.21,291.38
100.00,59.19,297.71
100.00,58.17,304.29
100.00,58.91,310.69
100.00,57.77,317.22
100.00,57.46,323.68
100.00,57.54,329.92
100.00,58.72,336.18
100.00,61.04,342.60
100.00,57.54,348.91
100.00,58.60,355.30
100.00,58.64,361.71
100.00,57.69,368.18
100.00,61.75,374.52
100.00,59.70,381.07
100.00,59.23,387.60
100.00,60.68,393.82
100.00,58.56,400.25
100.00,60.17,406.86
100.00,60.84,413.35
100.00,59.58,419.82
100.00,59.15,426.12
100.00,61.59,432.62
100.00,57.34,439.20
100.00,61.12,445.66
100.00,61.12,445.66
