train,validation,time
0.00,0.00,0.00
27.96,12.12,7.47
47.11,25.07,13.76
73.05,35.77,20.27
92.07,45.34,26.55
98.07,51.63,32.94
99.52,54.11,39.59
99.96,56.24,45.83
100.00,54.82,51.97
100.00,56.24,58.42
100.00,56.40,64.98
100.00,54.47,71.65
100.00,56.47,78.07
100.00,56.95,84.26
100.00,56.99,91.06
100.00,56.99,97.71
100.00,57.10,104.25
100.00,57.02,110.89
100.00,55.18,117.38
100.00,56.95,124.04
100.00,57.14,130.21
100.00,56.87,137.24
100.00,57.02,143.81
100.00,56.95,150.37
100.00,56.71,156.79
100.00,56.99,163.57
100.00,57.06,170.06
100.00,56.75,176.50
100.00,57.14,182.55
100.00,56.20,189.06
100.00,56.55,195.67
100.00,57.14,202.29
100.00,57.14,202.29
