train,validation,time
0.00,0.00,0.00
20.38,14.36,7.50
68.76,28.73,13.86
85.71,47.97,20.39
99.12,67.57,27.00
99.87,73.59,33.57
100.00,72.77,39.95
100.00,73.99,46.63
100.00,72.92,53.25
100.00,75.64,59.89
100.00,74.73,66.67
100.00,72.45,73.43
100.00,73.51,80.07
100.00,76.51,86.93
100.00,75.56,93.39
100.00,75.68,99.95
100.00,75.13,106.67
100.00,75.64,113.13
100.00,74.73,119.71
100.00,73.48,126.50
100.00,76.31,133.04
100.00,72.92,139.69
100.00,71.43,146.36
100.00,73.79,153.16
100.00,71.78,159.63
100.00,71.78,159.63
