train,validation,time
0.00,0.00,0.00
21.82,15.66,7.43
62.45,42.11,13.93
88.74,65.53,20.48
97.28,65.76,27.17
99.87,68.99,33.84
100.00,70.01,40.54
100.00,69.42,47.19
100.00,68.52,53.85
100.00,71.43,60.41
100.00,71.31,66.78
100.00,70.56,73.46
100.00,70.84,80.12
100.00,72.10,86.66
100.00,71.39,93.02
100.00,74.14,99.53
100.00,71.90,106.20
100.00,71.70,112.67
100.00,70.05,119.18
100.00,72.02,125.64
100.00,71.23,132.42
100.00,70.96,138.79
100.00,69.22,145.23
100.00,71.23,151.72
100.00,72.33,158.19
100.00,71.39,164.98
100.00,70.72,171.71
100.00,70.72,171.71
