train,validation,time
0.00,0.00,0.00
27.74,5.55,7.38
42.86,14.21,13.66
48.73,13.07,20.01
64.11,16.69,26.42
91.76,30.18,32.91
98.29,41.40,39.39
99.61,45.38,45.82
99.91,51.28,52.06
99.96,53.80,58.07
100.00,54.98,64.14
100.00,56.08,70.59
100.00,56.47,76.57
100.00,56.47,82.69
100.00,57.02,88.95
100.00,56.91,95.28
100.00,56.59,101.53
100.00,57.02,107.67
100.00,57.26,114.05
100.00,57.30,120.38
100.00,58.36,126.35
100.00,57.42,132.64
100.00,58.13,138.77
100.00,57.34,145.37
100.00,58.24,151.83
100.00,59.07,158.33
100.00,59.82,164.53
100.00,59.27,171.00
100.00,60.53,177.41
100.00,63.44,183.87
100.00,60.09,190.22
100.00,62.61,196.66
100.00,60.49,203.15
100.00,62.18,209.38
100.00,63.40,215.93
100.00,63.32,222.77
100.00,61.39,229.11
100.00,62.65,235.94
100.00,59.46,242.19
100.00,62.06,248.68
100.00,61.87,254.99
100.00,61.87,254.99
