train,validation,time
0.00,0.00,0.00
16.39,13.73,7.53
58.50,47.15,14.32
91.45,70.29,20.98
99.08,79.42,27.29
99.96,83.83,34.09
99.96,83.86,40.90
100.00,84.49,47.52
100.00,84.30,54.10
100.00,83.67,61.03
100.00,84.26,67.81
100.00,85.20,74.39
100.00,84.10,80.83
100.00,85.24,87.47
100.00,84.22,94.07
100.00,83.75,100.95
100.00,84.61,107.53
100.00,85.08,114.31
100.00,85.60,120.84
100.00,85.60,127.54
100.00,85.44,134.01
100.00,85.71,140.69
100.00,85.67,147.28
100.00,85.60,153.76
100.00,85.71,160.52
100.00,85.08,167.21
100.00,85.67,173.92
100.00,85.56,180.64
100.00,85.08,187.11
100.00,85.01,193.52
100.00,85.52,200.06
100.00,85.60,206.43
100.00,85.44,213.19
100.00,85.44,213.19
