train,validation,test,min
0.00,0.00,0.00,0.00
14.29,14.29,14.29,0.00
26.91,28.19,25.00,0.00
31.42,31.66,30.36,0.00
49.74,46.33,41.07,6.25
74.80,69.88,61.61,25.00
85.93,81.08,75.00,43.75
90.89,84.56,80.36,62.50
93.60,87.26,82.14,62.50
94.87,89.58,83.04,56.25
96.63,90.73,83.04,62.50
97.72,92.66,86.61,62.50
99.04,93.44,88.39,68.75
99.39,94.21,86.61,75.00
99.78,94.21,88.39,75.00
99.87,94.59,91.07,75.00
99.96,95.37,90.18,75.00
99.91,95.37,91.07,75.00
100.00,96.53,92.86,81.25
100.00,96.14,91.96,75.00
