train,validation,time
0.00,0.00,0.00
0.00,0.00,4.24
0.51,0.26,7.32
39.20,25.69,10.25
66.99,55.44,15.10
80.20,72.74,18.17
90.89,84.53,21.21
94.94,87.55,24.17
96.18,89.65,27.20
97.41,89.78,30.32
98.54,92.53,33.39
99.21,93.05,36.52
99.44,94.63,39.68
99.89,94.50,42.95
99.78,94.76,46.26
100.00,95.67,49.40
100.00,96.59,52.39
100.00,96.20,55.47
100.00,96.20,58.36
100.00,96.85,61.41
100.00,95.94,64.30
100.00,97.51,67.34
100.00,96.59,70.22
100.00,96.72,73.23
100.00,97.12,76.29
100.00,97.38,79.19
100.00,96.72,82.12
100.00,97.64,85.06
100.00,97.51,88.19
100.00,96.72,91.24
100.00,97.12,94.25
100.00,97.90,97.36
100.00,98.30,100.46
100.00,98.30,100.46
