train,validation,time
0.00,0.00,0.00
3.99,2.62,5.99
36.84,37.22,10.97
41.73,41.81,15.85
42.24,42.33,20.66
49.94,47.18,25.56
52.59,50.20,30.55
56.36,52.69,35.60
62.43,56.49,40.66
67.55,60.94,45.52
69.01,63.04,50.51
74.75,69.86,55.36
74.47,69.59,60.34
75.37,70.77,65.28
76.04,72.21,70.37
77.28,73.53,75.22
77.84,74.44,80.36
78.63,76.15,85.39
78.85,76.28,90.09
83.01,79.55,94.87
80.93,77.98,99.90
83.63,81.39,104.84
86.11,83.62,109.67
92.58,87.42,114.58
92.52,87.94,119.41
93.81,90.04,124.58
94.15,89.12,129.56
95.78,91.48,134.49
95.95,91.35,139.39
97.53,92.92,144.40
97.98,93.71,149.34
98.43,94.76,154.46
98.82,94.76,159.40
98.88,94.63,164.29
98.76,95.81,169.05
99.61,97.12,173.93
99.61,95.81,178.79
99.66,97.64,183.60
99.78,98.30,188.44
99.78,98.30,188.44
