train,validation,time
0.00,0.00,0.00
0.00,0.00,5.89
24.92,24.64,10.72
39.65,38.14,15.39
54.56,46.40,20.34
68.62,59.11,24.98
71.09,65.66,29.67
69.85,61.73,34.71
72.16,66.32,39.59
72.38,68.15,44.45
75.14,71.56,49.23
76.55,73.39,54.05
74.58,71.04,58.94
76.49,74.97,63.79
78.35,75.23,68.60
79.47,76.41,73.64
84.48,81.13,78.69
87.06,83.88,83.55
92.91,89.38,88.50
94.94,90.30,93.65
96.85,90.83,98.72
98.14,93.58,103.74
98.54,94.76,108.81
98.93,94.63,113.63
99.16,95.41,118.40
99.38,97.64,123.08
99.21,96.07,127.79
99.94,98.17,132.38
99.94,98.17,132.38
