train,validation,time
0.00,0.00,0.00
26.86,0.16,7.75
43.12,10.23,14.56
56.62,9.96,21.03
79.54,17.43,27.60
90.18,19.01,34.15
97.28,26.64,40.66
98.38,26.80,47.43
99.52,32.62,54.20
99.91,34.75,60.74
100.00,35.50,67.61
100.00,36.68,74.42
100.00,37.31,80.93
100.00,39.83,87.89
100.00,38.72,94.62
100.00,39.47,101.55
100.00,40.61,108.03
100.00,38.65,114.61
100.00,39.87,121.15
100.00,39.79,127.81
100.00,41.20,134.23
100.00,41.95,141.13
100.00,39.67,147.90
100.00,41.32,154.72
100.00,41.60,161.26
100.00,40.97,168.10
100.00,41.16,174.74
100.00,42.86,181.37
100.00,42.31,188.04
100.00,41.44,194.68
100.00,43.13,201.32
100.00,46.32,207.98
100.00,42.19,214.69
100.00,42.03,221.38
100.00,45.22,227.79
100.00,45.18,234.20
100.00,42.03,240.79
100.00,44.86,247.57
100.00,47.70,253.97
100.00,43.60,260.74
100.00,43.21,267.28
100.00,42.78,273.96
100.00,42.94,280.60
100.00,42.82,287.38
100.00,45.14,293.89
100.00,44.51,300.67
100.00,43.33,307.38
100.00,43.88,314.22
100.00,42.62,320.84
100.00,42.50,327.70
100.00,42.50,327.70
