train,validation,time
0.00,0.00,0.00
11.17,0.00,7.29
39.48,0.71,13.53
48.25,7.24,19.89
69.50,14.44,26.06
76.16,19.01,32.45
82.16,19.99,38.91
87.86,21.61,45.17
87.95,20.27,51.56
93.69,22.20,57.77
95.97,21.17,64.41
97.46,21.68,70.96
96.28,21.76,77.62
95.44,22.75,84.04
99.43,23.02,90.36
99.74,23.97,96.72
99.08,24.44,102.89
99.78,23.30,109.53
99.96,23.85,115.79
100.00,24.16,122.21
100.00,23.65,128.69
100.00,24.79,135.09
100.00,24.56,141.40
100.00,24.60,147.73
100.00,24.40,153.90
100.00,25.34,160.25
100.00,25.23,166.64
100.00,25.15,173.10
100.00,24.52,179.48
100.00,25.07,185.91
100.00,24.24,192.78
100.00,25.23,199.59
100.00,25.54,206.56
100.00,24.52,212.86
100.00,24.83,219.40
100.00,25.19,225.97
100.00,25.42,232.44
100.00,24.56,238.80
100.00,25.03,245.40
100.00,28.89,251.77
100.00,26.33,257.95
100.00,26.88,264.56
100.00,25.70,271.31
100.00,25.78,277.53
100.00,25.11,283.92
100.00,24.75,290.59
100.00,26.09,296.98
100.00,25.86,303.12
100.00,25.54,309.56
100.00,25.23,316.27
100.00,26.60,322.77
100.00,26.60,322.77
