train,validation,time
0.00,0.00,0.00
24.67,12.63,7.33
50.26,28.53,13.90
67.00,32.74,20.19
92.38,41.76,26.89
99.47,58.09,33.40
99.87,67.69,39.86
100.00,69.34,46.34
100.00,70.48,52.79
100.00,71.19,59.40
100.00,70.96,65.97
100.00,70.88,72.51
100.00,71.31,79.15
100.00,71.43,85.72
100.00,71.19,92.15
100.00,71.27,98.71
100.00,71.31,105.01
100.00,70.05,111.64
100.00,70.33,117.95
100.00,70.88,124.42
100.00,71.39,131.03
100.00,71.43,137.51
100.00,71.19,144.05
100.00,71.39,150.41
100.00,71.35,157.07
100.00,71.35,157.07
