################ TRAINING REPORT #################
# Images path   | ./dataset/fabric/side64/training/
# Validation    | 0.30
# Images size   | (64,64)
# Architecure   | fabric
# Bacth Size    | 64
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,14.04,0.00,14.00,0.00,14.29,0.00,True
28.76,84.17,29.00,83.98,28.57,83.12,3.39,True
69.57,89.49,68.11,90.33,68.40,90.48,5.78,True
70.93,97.28,70.13,95.96,71.00,96.97,7.94,True
78.79,98.27,75.76,96.25,78.79,97.84,10.15,True
86.58,98.39,83.69,96.54,87.45,97.40,12.41,True
91.90,99.38,87.88,97.55,91.34,97.84,14.55,True
92.46,99.44,88.17,97.69,91.34,97.84,16.88,True
93.07,99.13,89.61,96.54,90.91,96.97,19.12,True
96.41,99.51,92.50,98.12,95.24,97.84,21.36,True
96.78,99.57,93.51,97.26,93.51,97.40,23.60,True
99.01,99.81,95.53,98.70,95.67,98.27,25.79,True
97.40,99.69,92.93,97.69,93.51,96.54,27.93,False
99.44,99.81,95.82,98.70,96.97,97.84,30.17,True
99.44,99.94,96.97,98.41,97.40,97.84,32.39,True
99.81,99.94,97.11,98.85,97.40,98.27,34.66,True
99.88,100.00,97.84,98.85,97.40,97.84,36.84,True
99.88,100.00,97.84,98.85,97.40,97.84,36.84,True
