################ TRAINING REPORT #################
# Images path   | ./dataset/fabric/side64/training/
# Validation    | 0.30
# Images size   | (64,64)
# Architecure   | fabric
# Bacth Size    | 64
# Snap/Epoch    | 5
# Max epochs    | 10000
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,13.67,0.00,12.27,0.00,13.85,0.00,True
0.00,17.25,0.00,15.15,0.00,18.18,3.42,True
0.00,24.06,0.00,22.80,0.00,25.54,5.69,True
0.00,29.50,0.00,29.44,0.00,27.71,8.10,True
0.00,31.05,0.00,30.59,0.00,27.71,10.43,False
0.00,37.35,0.00,37.23,0.00,34.20,12.77,True
0.00,44.59,0.00,42.14,0.00,38.53,15.10,True
0.00,50.03,0.00,49.49,0.00,43.29,17.46,True
0.00,50.96,0.00,49.78,0.00,46.32,19.86,True
0.00,51.58,0.00,50.65,0.00,47.19,22.24,True
0.00,53.31,0.00,52.67,0.00,47.19,24.65,False
0.00,52.44,0.00,51.23,0.00,44.59,26.91,False
0.00,52.88,0.00,52.53,0.00,44.59,29.20,False
0.00,54.48,0.00,54.55,0.00,44.16,31.50,False
0.00,54.92,0.00,55.99,0.00,45.45,33.98,False
0.00,56.22,0.00,57.29,0.00,46.32,36.36,False
0.00,59.49,0.00,60.32,0.00,50.22,38.75,True
0.00,61.90,0.00,62.05,0.00,52.81,41.05,True
0.00,63.51,0.00,62.34,0.00,54.55,43.33,True
0.00,66.98,0.00,67.53,0.00,58.87,45.63,True
0.00,68.34,0.00,68.25,0.00,59.31,48.06,True
0.00,71.00,0.00,70.27,0.00,63.20,50.57,True
0.00,72.29,0.00,70.42,0.00,65.37,52.92,True
0.00,74.21,0.00,71.86,0.00,67.53,55.40,True
0.12,75.57,0.00,73.16,0.00,67.10,57.75,False
0.12,76.13,0.29,74.17,0.43,70.13,60.04,True
1.18,77.43,1.01,75.32,0.87,71.00,62.46,True
3.15,77.61,1.88,75.18,1.73,73.16,64.77,True
7.17,78.23,6.35,77.06,5.19,74.03,67.06,True
11.19,78.91,11.40,77.78,11.69,75.76,69.44,True
12.80,79.72,12.84,78.35,13.85,77.49,71.89,True
14.78,80.27,14.29,79.08,17.32,77.49,74.37,True
15.89,80.77,14.57,79.65,19.91,77.06,76.69,True
18.06,81.01,15.73,80.95,22.08,77.06,78.90,True
18.86,81.39,17.03,80.95,24.24,77.49,81.15,True
19.98,82.31,17.89,82.25,24.68,77.92,83.49,True
21.21,83.06,19.77,81.67,25.54,77.92,85.66,True
22.82,83.43,21.65,82.97,26.41,78.79,87.93,True
23.69,84.04,22.66,83.26,26.84,78.35,90.22,True
24.06,84.85,23.38,82.68,26.84,81.82,92.50,True
25.11,84.85,24.96,83.69,26.84,80.95,94.65,True
25.97,83.98,26.26,83.26,27.27,83.55,96.94,True
26.16,84.85,26.26,84.42,27.27,82.68,99.22,False
26.59,85.71,26.26,85.28,27.27,83.12,101.54,False
27.03,86.27,26.55,86.15,27.27,84.42,103.82,True
27.09,86.09,26.55,85.86,27.27,83.55,106.07,False
27.52,86.33,27.13,86.15,27.27,84.42,108.31,True
27.52,86.39,27.13,86.15,27.27,86.58,110.50,True
27.64,86.33,27.71,87.01,27.27,86.15,112.76,True
27.83,87.51,28.14,87.73,27.27,85.71,115.14,True
28.08,86.95,28.28,87.01,27.71,85.71,117.39,True
28.26,86.83,28.86,87.88,27.71,88.31,119.56,True
28.63,86.58,29.87,87.88,27.71,87.88,121.79,True
28.94,87.88,30.45,88.17,27.71,86.58,123.96,True
29.00,88.06,30.59,89.47,27.71,87.45,126.16,True
29.81,88.31,30.74,89.18,27.71,86.58,128.46,True
30.30,88.44,30.74,89.03,27.71,87.01,130.55,False
31.79,88.87,31.89,89.47,27.71,87.88,132.86,True
32.16,88.87,32.18,89.47,27.71,87.88,135.18,True
32.59,88.93,33.04,90.04,28.14,87.88,137.42,True
32.71,88.87,33.48,90.04,28.57,87.88,139.66,True
33.46,89.80,34.34,89.47,29.44,88.74,141.89,True
33.58,89.61,34.34,90.04,29.87,89.18,144.17,True
34.01,89.73,34.49,90.48,29.87,88.74,146.49,True
34.38,90.11,34.92,90.48,29.87,89.18,148.74,True
34.76,90.29,35.35,90.19,30.74,89.61,151.02,True
35.25,90.04,35.93,91.05,30.74,90.48,153.30,True
35.37,90.23,36.08,90.91,31.17,90.48,155.43,True
35.56,90.35,36.51,90.76,31.17,91.77,157.72,True
36.05,90.29,36.80,90.76,31.17,91.77,159.98,True
36.73,91.16,37.23,91.77,32.47,91.77,162.23,True
36.67,91.09,37.23,91.49,32.47,91.77,164.63,False
37.35,91.34,37.66,91.20,33.33,91.77,166.80,True
37.60,91.34,37.66,91.77,33.77,92.64,168.95,True
38.03,91.40,38.67,91.63,34.20,92.21,171.17,True
38.03,91.71,38.67,91.34,34.20,92.64,173.48,False
38.34,91.65,38.82,91.77,34.20,92.64,175.58,True
38.78,91.65,39.25,91.49,34.63,93.51,177.86,True
38.96,91.65,39.25,91.34,34.63,93.51,180.06,False
39.15,91.65,39.54,91.49,35.50,93.51,182.35,True
39.46,91.84,39.83,90.91,36.36,93.51,184.51,True
39.39,92.02,39.68,91.49,36.36,93.51,186.79,False
39.58,92.33,40.12,91.05,36.36,93.51,189.04,True
39.76,91.84,39.97,91.49,36.80,93.51,191.34,False
40.38,92.15,40.69,91.49,36.80,93.94,193.51,True
41.06,92.33,41.70,91.34,37.66,93.94,195.76,True
41.50,92.64,41.99,91.77,37.66,93.94,198.08,True
42.18,92.21,42.42,91.92,38.53,94.37,200.33,True
43.35,92.02,43.58,92.78,40.26,94.81,202.63,True
45.15,92.21,45.17,92.35,42.42,94.81,204.82,True
46.32,92.46,45.74,92.35,43.72,94.81,207.04,True
47.62,92.39,47.33,92.35,45.02,94.37,209.23,True
