Total:    16 | Class: 0 | [0,0,0,0,15,1,0] | Acc: 0.000 | Acc2: 0.000 | Time: 0.046
Total:    16 | Class: 1 | [0,2,0,2,10,2,0] | Acc: 12.500 | Acc2: 0.000 | Time: 0.037
Total:    16 | Class: 2 | [0,0,0,3,13,0,0] | Acc: 0.000 | Acc2: 0.000 | Time: 0.033
Total:    16 | Class: 3 | [0,1,0,1,14,0,0] | Acc: 6.250 | Acc2: 0.000 | Time: 0.033
Total:    16 | Class: 4 | [0,0,0,2,14,0,0] | Acc: 87.500 | Acc2: 0.000 | Time: 0.032
Total:    16 | Class: 5 | [0,0,3,5,8,0,0] | Acc: 0.000 | Acc2: 0.000 | Time: 0.035
Total:    16 | Class: 6 | [0,0,1,2,13,0,0] | Acc: 0.000 | Acc2: 0.000 | Time: 0.034
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.036
Total:    16 | Class: 1 | [0,15,0,0,0,0,1] | Acc: 93.750 | Acc2: 75.000 | Time: 0.034
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.033
Total:    16 | Class: 3 | [0,0,2,12,0,2,0] | Acc: 75.000 | Acc2: 31.250 | Time: 0.036
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.040
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.039
Total:    16 | Class: 6 | [0,11,0,0,0,0,5] | Acc: 31.250 | Acc2: 0.000 | Time: 0.037
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.037
Total:    16 | Class: 1 | [0,13,0,0,0,0,3] | Acc: 81.250 | Acc2: 43.750 | Time: 0.034
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.035
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.035
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.048
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.039
Total:    16 | Class: 6 | [0,0,0,0,0,0,16] | Acc: 100.000 | Acc2: 56.250 | Time: 0.033
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.036
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Acc2: 81.250 | Time: 0.039
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.040
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.034
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.039
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.038
